model,feature_condition,validation_accuracy_mean,iid_accuracy_mean,average_ood_accuracy_mean,worst_environment_accuracy_mean,ood_gap_mean,severe_shift_accuracy_mean,degradation_slope_mean,spurious_reliance_score_mean,validation_accuracy_se,iid_accuracy_se,average_ood_accuracy_se,worst_environment_accuracy_se,ood_gap_se,severe_shift_accuracy_se,degradation_slope_se,spurious_reliance_score_se,n_seeds
logistic_regression,all_features,0.9941000000000001,0.9942,0.6091333333333333,0.25793333333333335,0.3850666666666667,0.35823333333333335,-0.3903809523809521,0.37360000000000004,0.0003674234614174786,0.00046666666666666157,0.004017308232149823,0.00808798835035978,0.004318078562177357,0.007162905990044977,0.00377235922593589,0.006167252224451336,5
rbf_svm,all_features,0.9939,0.9940666666666667,0.6162333333333333,0.2753333333333333,0.37783333333333335,0.3710333333333333,-0.3821984126984124,0.36340000000000006,0.0005787918451395208,0.00037118429085533617,0.0032799145577549487,0.00629550103910192,0.0034118077464542706,0.007044383105235923,0.0034337574681701654,0.005933801479658707,5
random_forest,all_features,0.99,0.9901333333333333,0.48334444444444447,0.06013333333333333,0.5067888888888888,0.1786,-0.48859523809523786,0.4678,0.0010124228365658234,0.0004027681991197919,0.002922739709144075,0.004094169295745137,0.003150808244338676,0.004268944704360646,0.00227808885658539,0.0063769114781373586,5
gradient_boosting,all_features,0.9909000000000001,0.9904,0.5208,0.10033333333333334,0.46959999999999996,0.2227333333333333,-0.4682301587301584,0.45120000000000005,0.0006204836822995453,0.0007408703590297753,0.0019290341727160106,0.0026645825188948463,0.0016033722179006821,0.003013211649460493,0.0011322117744227696,0.0022113344387495906,5
mlp,all_features,0.9918000000000001,0.9914,0.6501111111111111,0.34606666666666663,0.3412888888888889,0.42910000000000004,-0.34569841269841234,0.32380000000000003,0.0009433981132056633,0.0014659088951530792,0.013723009424114002,0.0242524683738011,0.012664453997773809,0.0202852984531491,0.012196882875433688,0.011723480711802275,5
logistic_regression,stable_only,0.9085000000000001,0.9071999999999999,0.9107777777777777,0.9032666666666668,-0.0035777777777777687,0.9120333333333333,0.0015714285714288664,0.0,0.00325960120260134,0.003225936556516055,0.0006083269913418623,0.0007630348761506362,0.003563558701254118,0.0011296508801886948,0.0011390064095109771,0.0,5
rbf_svm,stable_only,0.9075,0.907,0.9099999999999999,0.9028,-0.0029999999999999805,0.9117,0.0015396825396827552,0.0,0.004083503397819056,0.003607091780245006,0.0007428673177976666,0.0013848385385227353,0.004036867138796682,0.001201156849781817,0.0010699136850815284,0.0,5
random_forest,stable_only,0.9018,0.8997333333333334,0.9030444444444445,0.8951333333333334,-0.0033111111111111093,0.9037,0.0008333333333335434,0.0,0.004630334761116112,0.0030594117081556463,0.0005701959810364441,0.0017594190960528672,0.003320187039205526,0.0010572501018102558,0.0010182264406329562,0.0,5
gradient_boosting,stable_only,0.8972,0.8967333333333333,0.8999666666666666,0.8922000000000001,-0.0032333333333333324,0.8998333333333333,0.00017460317460340222,0.0,0.004707971962533339,0.003312266763277241,0.000556831867258924,0.0015369522511198114,0.0037198748817403064,0.0010301024760241359,0.0015600134535665479,0.0,5
mlp,stable_only,0.9077,0.9065333333333333,0.9102444444444444,0.9028,-0.0037111111111111316,0.9108666666666666,0.0011031746031747783,0.0,0.0034481879299133344,0.002636495991104711,0.0009323738454366635,0.0010413666234542333,0.003501119750333164,0.0017089632984811285,0.001048880913917183,0.0,5
