seed,model,feature_condition,validation_accuracy,validation_balanced_accuracy,validation_log_loss,permuted_validation_accuracy,spurious_reliance_score
0,logistic_regression,all_features,0.995,0.9950130225524203,0.017440625722614934,0.602,0.393
0,rbf_svm,all_features,0.9955,0.995506119199363,0.01308640372530762,0.6325,0.3630000000000001
0,random_forest,all_features,0.9925,0.9925055310840925,0.02487349614251339,0.5195,0.4730000000000001
0,gradient_boosting,all_features,0.9925,0.9925335365731683,0.022483252437187556,0.539,0.4535
0,mlp,all_features,0.9925,0.9925475393177062,0.12217831691151801,0.706,0.2865000000000001
0,logistic_regression,stable_only,0.908,0.9079259534868834,0.20472319392699642,0.908,0.0
0,rbf_svm,stable_only,0.906,0.9059815723881881,0.21231886229496916,0.906,0.0
0,random_forest,stable_only,0.8955,0.8954305043788583,0.24031158640477981,0.8955,0.0
0,gradient_boosting,stable_only,0.888,0.8879920464411024,0.25697488311244887,0.888,0.0
0,mlp,stable_only,0.9085,0.9084890638565158,0.24607123293910432,0.9085,0.0
1,logistic_regression,all_features,0.995,0.9950138781225777,0.01874443549925561,0.618,0.377
1,rbf_svm,all_features,0.995,0.994998874746818,0.01496369667899996,0.6195,0.37549999999999994
1,random_forest,all_features,0.9875,0.9874596784276461,0.030470757459264343,0.535,0.4525
1,gradient_boosting,all_features,0.9895,0.9894751319046786,0.037106744980135775,0.538,0.4515
1,mlp,all_features,0.9945,0.9945062639093796,0.026439877622464164,0.6485,0.3460000000000001
1,logistic_regression,stable_only,0.8985,0.8984396489210071,0.216905282635173,0.8985,0.0
1,rbf_svm,stable_only,0.894,0.893856117626466,0.2296412883601211,0.894,0.0
1,random_forest,stable_only,0.8915,0.8914380735665525,0.2493638054690382,0.8915,0.0
1,gradient_boosting,stable_only,0.8875,0.8874071666124879,0.2676411993743716,0.8875,0.0
1,mlp,stable_only,0.899,0.8990072766372434,0.21937562130340799,0.899,0.0
2,logistic_regression,all_features,0.9935,0.9935424677473769,0.018695216589942533,0.639,0.35450000000000004
2,rbf_svm,all_features,0.9935,0.9935094317711988,0.01953162991579706,0.618,0.37550000000000006
2,random_forest,all_features,0.992,0.991991278502289,0.027714696869754342,0.517,0.475
2,gradient_boosting,all_features,0.9895,0.9895711429746994,0.03920103669301488,0.544,0.4455
2,mlp,all_features,0.989,0.9890871158691815,0.12104816074825374,0.6645,0.3245
2,logistic_regression,stable_only,0.9075,0.9078451433611203,0.2094235599005224,0.9075,0.0
2,rbf_svm,stable_only,0.9085,0.9088792695245123,0.219461061060029,0.9085,0.0
2,random_forest,stable_only,0.8965,0.8968661872779458,0.23854668108684052,0.8965,0.0
2,gradient_boosting,stable_only,0.894,0.8943139078456439,0.27272559379369377,0.894,0.0
2,mlp,stable_only,0.905,0.9049955401432159,0.2110362638473727,0.905,0.0
3,logistic_regression,all_features,0.9935,0.993504974019896,0.017808830510848767,0.6225,0.371
3,rbf_svm,all_features,0.993,0.9930039720158881,0.0187468473111023,0.6495,0.3435
3,random_forest,all_features,0.988,0.988003952015808,0.029871140218934326,0.5345,0.4535
3,gradient_boosting,all_features,0.992,0.9920039680158721,0.034374818951071494,0.534,0.45799999999999996
3,mlp,all_features,0.9905,0.9905149620598482,0.31177189331704713,0.64,0.35050000000000003
3,logistic_regression,stable_only,0.9095,0.9094746378985517,0.19465984693500069,0.9095,0.0
3,rbf_svm,stable_only,0.9095,0.9094626378505514,0.20682945233949654,0.9095,0.0
3,random_forest,stable_only,0.91,0.9099736398945595,0.22437842618017945,0.91,0.0
3,gradient_boosting,stable_only,0.906,0.9059816239264957,0.24490658625608097,0.906,0.0
3,mlp,stable_only,0.906,0.9059616238464954,0.19769808115258727,0.906,0.0
4,logistic_regression,all_features,0.9935,0.9934433598188428,0.01987356850391551,0.621,0.37250000000000005
4,rbf_svm,all_features,0.9925,0.9924092336554509,0.02270577033800522,0.633,0.35950000000000004
4,random_forest,all_features,0.99,0.989856954223149,0.04887955059596274,0.505,0.485
4,gradient_boosting,all_features,0.991,0.990858044410363,0.04210279865752873,0.5435,0.4475
4,mlp,all_features,0.9925,0.9924092336554509,0.036108997124740146,0.681,0.3115
4,logistic_regression,stable_only,0.919,0.9188125869071418,0.178242513796391,0.919,0.0
4,rbf_svm,stable_only,0.9195,0.9193957219411939,0.1848343571031075,0.9195,0.0
4,random_forest,stable_only,0.9155,0.9153583252161603,0.20948716739635972,0.9155,0.0
4,gradient_boosting,stable_only,0.9105,0.9102537663515569,0.20767132268822083,0.9105,0.0
4,mlp,stable_only,0.92,0.9197476051419997,0.20592093252632065,0.92,0.0
