seed,model,feature_condition,rho_test,accuracy,balanced_accuracy,log_loss,rho_train,rho_val
0,logistic_regression,all_features,0.5,0.925,0.9247540359792952,0.16798679889751506,0.5,0.5
0,logistic_regression,all_features,0.3,0.913,0.9128374722332973,0.1919201193667717,0.5,0.5
0,logistic_regression,all_features,0.0,0.892,0.8920207784495813,0.2610125096422664,0.5,0.5
0,logistic_regression,all_features,-0.3,0.867,0.8668604072285557,0.30744589906955017,0.5,0.5
0,logistic_regression,all_features,-0.6,0.8296666666666667,0.8293674153988677,0.37395803614438833,0.5,0.5
0,logistic_regression,all_features,-0.9,0.8166666666666667,0.8173848969408637,0.40012506673477555,0.5,0.5
0,rbf_svm,all_features,0.5,0.924,0.9238173900519044,0.17903809203320614,0.5,0.5
0,rbf_svm,all_features,0.3,0.906,0.9059794526399727,0.21196453757193612,0.5,0.5
0,rbf_svm,all_features,0.0,0.884,0.8840201775155556,0.28006335610066585,0.5,0.5
0,rbf_svm,all_features,-0.3,0.857,0.8568450454807303,0.33373977792988085,0.5,0.5
0,rbf_svm,all_features,-0.6,0.813,0.8126360739681739,0.4128477905767907,0.5,0.5
0,rbf_svm,all_features,-0.9,0.7926666666666666,0.7937655930255375,0.4605850139966126,0.5,0.5
0,random_forest,all_features,0.5,0.9133333333333333,0.9132853467145821,0.20094204744307648,0.5,0.5
0,random_forest,all_features,0.3,0.9056666666666666,0.9055184541778207,0.22698388701352906,0.5,0.5
0,random_forest,all_features,0.0,0.878,0.8780312832386077,0.3021912227626752,0.5,0.5
0,random_forest,all_features,-0.3,0.8476666666666667,0.8475604335426609,0.34677092188019637,0.5,0.5
0,random_forest,all_features,-0.6,0.8126666666666666,0.8123817800043518,0.4047841879026581,0.5,0.5
0,random_forest,all_features,-0.9,0.7856666666666666,0.786678066511554,0.4647357298507008,0.5,0.5
0,gradient_boosting,all_features,0.5,0.9186666666666666,0.9185709281463212,0.21309707082460197,0.5,0.5
0,gradient_boosting,all_features,0.3,0.9046666666666666,0.9045056814945606,0.24408252497203642,0.5,0.5
0,gradient_boosting,all_features,0.0,0.8796666666666667,0.8796951859939702,0.3370565182135509,0.5,0.5
0,gradient_boosting,all_features,-0.3,0.8546666666666667,0.8545576741175884,0.3998662234541666,0.5,0.5
0,gradient_boosting,all_features,-0.6,0.818,0.8178574432043442,0.5053200469007988,0.5,0.5
0,gradient_boosting,all_features,-0.9,0.806,0.8067966569354174,0.5331239597346218,0.5,0.5
0,mlp,all_features,0.5,0.9226666666666666,0.9224153106712734,0.19234756347125342,0.5,0.5
0,mlp,all_features,0.3,0.8986666666666666,0.8984290453949991,0.2278095199907337,0.5,0.5
0,mlp,all_features,0.0,0.8646666666666667,0.8645871623246368,0.3090556632515059,0.5,0.5
0,mlp,all_features,-0.3,0.8293333333333334,0.8289796527960515,0.3682481513751274,0.5,0.5
0,mlp,all_features,-0.6,0.77,0.7692572613941717,0.452648507800493,0.5,0.5
0,mlp,all_features,-0.9,0.738,0.7393079733505266,0.49727924604579177,0.5,0.5
0,logistic_regression,stable_only,0.5,0.9086666666666666,0.9085296570462269,0.20121971337618977,0.5,0.5
0,logistic_regression,stable_only,0.3,0.912,0.9119172552258359,0.19194725690000508,0.5,0.5
0,logistic_regression,stable_only,0.0,0.9093333333333333,0.9093669702302084,0.20666391030036127,0.5,0.5
0,logistic_regression,stable_only,-0.3,0.9103333333333333,0.9102840145367651,0.20060652491708517,0.5,0.5
0,logistic_regression,stable_only,-0.6,0.9116666666666666,0.911825403499779,0.1994620007245021,0.5,0.5
0,logistic_regression,stable_only,-0.9,0.9173333333333333,0.9174192032656417,0.19080638607361655,0.5,0.5
0,rbf_svm,stable_only,0.5,0.908,0.9078432871782196,0.21181197782535907,0.5,0.5
0,rbf_svm,stable_only,0.3,0.9126666666666666,0.9125615851227431,0.20246141218822308,0.5,0.5
0,rbf_svm,stable_only,0.0,0.906,0.9060564993548404,0.2165996452812936,0.5,0.5
0,rbf_svm,stable_only,-0.3,0.9083333333333333,0.9082908988756054,0.21190221229170797,0.5,0.5
0,rbf_svm,stable_only,-0.6,0.9106666666666666,0.9107902068124085,0.20675447960425922,0.5,0.5
0,rbf_svm,stable_only,-0.9,0.9166666666666666,0.9167744579400454,0.19956886717261121,0.5,0.5
0,random_forest,stable_only,0.5,0.905,0.9049062109360413,0.22917734414196256,0.5,0.5
0,random_forest,stable_only,0.3,0.908,0.9079587201685937,0.22368024239699305,0.5,0.5
0,random_forest,stable_only,0.0,0.901,0.9011052385712527,0.23569129954799004,0.5,0.5
0,random_forest,stable_only,-0.3,0.896,0.8959526061631902,0.2375803353353753,0.5,0.5
0,random_forest,stable_only,-0.6,0.8986666666666666,0.8986628542595241,0.231917363471971,0.5,0.5
0,random_forest,stable_only,-0.9,0.9126666666666666,0.9123840492943176,0.22173185742473242,0.5,0.5
0,gradient_boosting,stable_only,0.5,0.9013333333333333,0.9012436452997,0.23895258601191757,0.5,0.5
0,gradient_boosting,stable_only,0.3,0.9036666666666666,0.9036548812439482,0.233273576748284,0.5,0.5
0,gradient_boosting,stable_only,0.0,0.9013333333333333,0.9014068167786825,0.24941476869643173,0.5,0.5
0,gradient_boosting,stable_only,-0.3,0.8943333333333333,0.8942893058054605,0.24872299119145497,0.5,0.5
0,gradient_boosting,stable_only,-0.6,0.8926666666666667,0.892542445733935,0.24887254394301725,0.5,0.5
0,gradient_boosting,stable_only,-0.9,0.9053333333333333,0.9053145436124159,0.2331180757326646,0.5,0.5
0,mlp,stable_only,0.5,0.9063333333333333,0.906181151856666,0.2444689848579968,0.5,0.5
0,mlp,stable_only,0.3,0.9113333333333333,0.9110646750583813,0.23609669307140038,0.5,0.5
0,mlp,stable_only,0.0,0.9023333333333333,0.9023577770952573,0.24744702862946089,0.5,0.5
0,mlp,stable_only,-0.3,0.9086666666666666,0.9086207141790354,0.2431153801067369,0.5,0.5
0,mlp,stable_only,-0.6,0.9073333333333333,0.9073168582881812,0.24500628078952147,0.5,0.5
0,mlp,stable_only,-0.9,0.9126666666666666,0.912837907287491,0.23766069453839592,0.5,0.5
1,logistic_regression,all_features,0.5,0.939,0.9390137668196313,0.14879949800358902,0.5,0.5
1,logistic_regression,all_features,0.3,0.9186666666666666,0.9186934630483017,0.2026032397755909,0.5,0.5
1,logistic_regression,all_features,0.0,0.875,0.8749241590825749,0.2885495347629866,0.5,0.5
1,logistic_regression,all_features,-0.3,0.8593333333333333,0.8593659365936593,0.3199920054556087,0.5,0.5
1,logistic_regression,all_features,-0.6,0.8373333333333334,0.8372055811571941,0.3787725757501326,0.5,0.5
1,logistic_regression,all_features,-0.9,0.796,0.7961814305097887,0.4492996091033467,0.5,0.5
1,rbf_svm,all_features,0.5,0.936,0.9360192891032122,0.1606133286013059,0.5,0.5
1,rbf_svm,all_features,0.3,0.91,0.9100582437275986,0.22034620103281902,0.5,0.5
1,rbf_svm,all_features,0.0,0.8626666666666667,0.8625929259592626,0.31572006492878957,0.5,0.5
1,rbf_svm,all_features,-0.3,0.8456666666666667,0.8457545754575457,0.3545240715688807,0.5,0.5
1,rbf_svm,all_features,-0.6,0.8203333333333334,0.8202071599249019,0.42304494912341783,0.5,0.5
1,rbf_svm,all_features,-0.9,0.776,0.7762216559286257,0.5064096078307595,0.5,0.5
1,random_forest,all_features,0.5,0.9283333333333333,0.9283336481516462,0.17937331765117823,0.5,0.5
1,random_forest,all_features,0.3,0.9076666666666666,0.9077487625874723,0.2276223838220789,0.5,0.5
1,random_forest,all_features,0.0,0.8583333333333333,0.8583224989165583,0.31613228306955393,0.5,0.5
1,random_forest,all_features,-0.3,0.832,0.8320365369870321,0.36025318172022,0.5,0.5
1,random_forest,all_features,-0.6,0.8176666666666667,0.8175136542072026,0.41296811990727805,0.5,0.5
1,random_forest,all_features,-0.9,0.7646666666666667,0.7648849165349234,0.5242163048729745,0.5,0.5
1,gradient_boosting,all_features,0.5,0.927,0.926989188768764,0.19134941239788364,0.5,0.5
1,gradient_boosting,all_features,0.3,0.9086666666666666,0.9086981566820276,0.2422477276935323,0.5,0.5
1,gradient_boosting,all_features,0.0,0.8606666666666667,0.8606393972730606,0.3806914602123902,0.5,0.5
1,gradient_boosting,all_features,-0.3,0.839,0.838993899389939,0.42922139070957277,0.5,0.5
1,gradient_boosting,all_features,-0.6,0.8216666666666667,0.8215992490186039,0.4993900135862521,0.5,0.5
1,gradient_boosting,all_features,-0.9,0.7836666666666666,0.7838732881523516,0.5978597791937972,0.5,0.5
1,mlp,all_features,0.5,0.9396666666666667,0.9396626629184769,0.1511209353274338,0.5,0.5
1,mlp,all_features,0.3,0.9163333333333333,0.9163359788359788,0.20446674594791128,0.5,0.5
1,mlp,all_features,0.0,0.872,0.872013868053472,0.29670607586373143,0.5,0.5
1,mlp,all_features,-0.3,0.8593333333333333,0.8593059305930593,0.32681508086086875,0.5,0.5
1,mlp,all_features,-0.6,0.8396666666666667,0.8396590715139103,0.3884186180567129,0.5,0.5
1,mlp,all_features,-0.9,0.8013333333333333,0.8013083041838347,0.4539904951033139,0.5,0.5
1,logistic_regression,stable_only,0.5,0.9183333333333333,0.9183335370393004,0.19095758101908855,0.5,0.5
1,logistic_regression,stable_only,0.3,0.912,0.9120423707117256,0.19373474136550983,0.5,0.5
1,logistic_regression,stable_only,0.0,0.9076666666666666,0.9076140947428076,0.20264212027804615,0.5,0.5
1,logistic_regression,stable_only,-0.3,0.9106666666666666,0.9106577324399107,0.1950171986228012,0.5,0.5
1,logistic_regression,stable_only,-0.6,0.915,0.9150078938385391,0.1971678021893112,0.5,0.5
1,logistic_regression,stable_only,-0.9,0.9103333333333333,0.9105433454673493,0.20103197503059173,0.5,0.5
1,rbf_svm,stable_only,0.5,0.92,0.919990222113579,0.19895597392046516,0.5,0.5
1,rbf_svm,stable_only,0.3,0.9133333333333333,0.9133704557091653,0.20276526991125823,0.5,0.5
1,rbf_svm,stable_only,0.0,0.907,0.906954028736207,0.2112555817958375,0.5,0.5
1,rbf_svm,stable_only,-0.3,0.907,0.906980698069807,0.20128871628012765,0.5,0.5
1,rbf_svm,stable_only,-0.6,0.9123333333333333,0.9123410564942823,0.20835577184909107,0.5,0.5
1,rbf_svm,stable_only,-0.9,0.9086666666666666,0.9088241622816455,0.20875279876675062,0.5,0.5
1,random_forest,stable_only,0.5,0.9113333333333333,0.9113212369026322,0.215377177739441,0.5,0.5
1,random_forest,stable_only,0.3,0.9113333333333333,0.9113649940262843,0.21935559784488956,0.5,0.5
1,random_forest,stable_only,0.0,0.8976666666666666,0.8976597659765977,0.24102683934560765,0.5,0.5
1,random_forest,stable_only,-0.3,0.8976666666666666,0.8975930926425977,0.23069812402366763,0.5,0.5
1,random_forest,stable_only,-0.6,0.903,0.9029751237412528,0.22705972962343068,0.5,0.5
1,random_forest,stable_only,-0.9,0.905,0.9050928189980634,0.23093256166748172,0.5,0.5
1,gradient_boosting,stable_only,0.5,0.9046666666666666,0.904645607173413,0.23600623079767324,0.5,0.5
1,gradient_boosting,stable_only,0.3,0.905,0.905033922171019,0.23204551682482036,0.5,0.5
1,gradient_boosting,stable_only,0.0,0.889,0.8889188918891889,0.2698574480533463,0.5,0.5
1,gradient_boosting,stable_only,-0.3,0.8933333333333333,0.8932826615994933,0.2496710318608157,0.5,0.5
1,gradient_boosting,stable_only,-0.6,0.8993333333333333,0.899300221880867,0.24887537956994962,0.5,0.5
1,gradient_boosting,stable_only,-0.9,0.9003333333333333,0.9004363088643521,0.2480393999655787,0.5,0.5
1,mlp,stable_only,0.5,0.9166666666666666,0.9166412960144001,0.1945507205536372,0.5,0.5
1,mlp,stable_only,0.3,0.9133333333333333,0.9133064516129032,0.19397404810425203,0.5,0.5
1,mlp,stable_only,0.0,0.9083333333333333,0.9083541687502084,0.20385446005340813,0.5,0.5
1,mlp,stable_only,-0.3,0.908,0.9078907890789079,0.1960845731826876,0.5,0.5
1,mlp,stable_only,-0.6,0.9136666666666666,0.9137224782386073,0.1999126838045,0.5,0.5
1,mlp,stable_only,-0.9,0.9073333333333333,0.9073748379513134,0.2010985944681757,0.5,0.5
2,logistic_regression,all_features,0.5,0.922,0.9220101582062372,0.17525082981672266,0.5,0.5
2,logistic_regression,all_features,0.3,0.9196666666666666,0.9198026827358731,0.19232142466454305,0.5,0.5
2,logistic_regression,all_features,0.0,0.886,0.8856301229508197,0.2604026308280651,0.5,0.5
2,logistic_regression,all_features,-0.3,0.855,0.8550470140855587,0.3225712199964,0.5,0.5
2,logistic_regression,all_features,-0.6,0.8446666666666667,0.8446666666666667,0.34654436778769754,0.5,0.5
2,logistic_regression,all_features,-0.9,0.816,0.81615198479512,0.39823622381366924,0.5,0.5
2,rbf_svm,all_features,0.5,0.9203333333333333,0.9202993398588664,0.1913291493702787,0.5,0.5
2,rbf_svm,all_features,0.3,0.9156666666666666,0.9157893824265728,0.21226048363859884,0.5,0.5
2,rbf_svm,all_features,0.0,0.8773333333333333,0.8768624060792349,0.2924541753840739,0.5,0.5
