rho_train,seed,model,feature_condition,validation_accuracy,iid_accuracy,average_ood_accuracy,worst_environment_accuracy,ood_gap,severe_shift_accuracy,degradation_slope,spurious_reliance_score
0.5,0,logistic_regression,all_features,0.9335,0.925,0.8636666666666667,0.8166666666666667,0.06133333333333335,0.8231666666666666,-0.08189922480620145,0.04949999999999999
0.5,0,rbf_svm,all_features,0.9315,0.924,0.8505333333333333,0.7926666666666666,0.07346666666666679,0.8028333333333333,-0.09647286821705418,0.05149999999999999
0.5,0,random_forest,all_features,0.9195,0.9133333333333333,0.8459333333333333,0.7856666666666666,0.06740000000000002,0.7991666666666666,-0.0952558139534881,0.04799999999999993
0.5,0,gradient_boosting,all_features,0.9205,0.9186666666666666,0.8526,0.806,0.0660666666666666,0.812,-0.08493798449612372,0.05449999999999999
0.5,0,mlp,all_features,0.93,0.9226666666666666,0.8201333333333334,0.738,0.10253333333333325,0.754,-0.1347596899224804,0.07450000000000001
0.5,0,logistic_regression,stable_only,0.908,0.9086666666666666,0.9121333333333335,0.9086666666666666,-0.00346666666666684,0.9145,0.00433333333333343,0.0
0.5,0,rbf_svm,stable_only,0.906,0.908,0.9108666666666666,0.906,-0.002866666666666573,0.9136666666666666,0.003984496124031064,0.0
0.5,0,random_forest,stable_only,0.8955,0.905,0.9032666666666668,0.896,0.0017333333333332535,0.9056666666666666,0.0006589147286822539,0.0
0.5,0,gradient_boosting,stable_only,0.888,0.9013333333333333,0.8994666666666665,0.8926666666666667,0.0018666666666667941,0.899,-0.001984496124030827,0.0
0.5,0,mlp,stable_only,0.9085,0.9063333333333333,0.9084666666666668,0.9023333333333333,-0.0021333333333334314,0.9099999999999999,0.0025968992248063907,0.0
0.5,1,logistic_regression,all_features,0.9185,0.939,0.8572666666666666,0.796,0.08173333333333332,0.8166666666666667,-0.09724806201550368,0.050999999999999934
0.5,1,rbf_svm,all_features,0.915,0.936,0.8429333333333334,0.776,0.09306666666666663,0.7981666666666667,-0.10824031007751928,0.06600000000000006
0.5,1,random_forest,all_features,0.9125,0.9283333333333333,0.8360666666666667,0.7646666666666667,0.09226666666666661,0.7911666666666667,-0.11128682170542607,0.05249999999999999
0.5,1,gradient_boosting,all_features,0.9115,0.927,0.8427333333333333,0.7836666666666666,0.08426666666666671,0.8026666666666666,-0.09968217054263542,0.05049999999999999
0.5,1,mlp,all_features,0.9195,0.9396666666666667,0.8577333333333333,0.8013333333333333,0.0819333333333333,0.8205,-0.09301550387596877,0.05049999999999999
0.5,1,logistic_regression,stable_only,0.8985,0.9183333333333333,0.9111333333333332,0.9076666666666666,0.007200000000000095,0.9126666666666667,-0.0025116279069765973,0.0
0.5,1,rbf_svm,stable_only,0.894,0.92,0.9096666666666666,0.907,0.010333333333333417,0.9105,-0.005643410852712928,0.0
0.5,1,random_forest,stable_only,0.8915,0.9113333333333333,0.9029333333333334,0.8976666666666666,0.008399999999999963,0.904,-0.005441860465116201,0.0
0.5,1,gradient_boosting,stable_only,0.8875,0.9046666666666666,0.8974,0.889,0.0072666666666666435,0.8998333333333333,-0.003170542635658453,0.0
0.5,1,mlp,stable_only,0.899,0.9166666666666666,0.9101333333333332,0.9073333333333333,0.006533333333333391,0.9105,-0.004434108527131576,0.0
0.5,2,logistic_regression,all_features,0.9325,0.922,0.8642666666666667,0.816,0.0577333333333333,0.8303333333333334,-0.07889922480620137,0.04849999999999999
0.5,2,rbf_svm,all_features,0.931,0.9203333333333333,0.8534,0.803,0.06693333333333329,0.8165,-0.08820155038759646,0.0595
0.5,2,random_forest,all_features,0.924,0.916,0.844,0.7823333333333333,0.07200000000000006,0.8009999999999999,-0.09711627906976729,0.058499999999999996
0.5,2,gradient_boosting,all_features,0.922,0.913,0.8518000000000001,0.805,0.06119999999999992,0.8183333333333334,-0.08016279069767436,0.05349999999999999
0.5,2,mlp,all_features,0.9345,0.9216666666666666,0.8618,0.8156666666666667,0.059866666666666624,0.8288333333333333,-0.0784961240310076,0.05700000000000005
0.5,2,logistic_regression,stable_only,0.9075,0.909,0.9111333333333332,0.9033333333333333,-0.0021333333333332094,0.9145,0.003782945736434259,0.0
0.5,2,rbf_svm,stable_only,0.9085,0.9053333333333333,0.9104666666666666,0.9046666666666666,-0.005133333333333323,0.9145,0.006224806201550454,0.0
0.5,2,random_forest,stable_only,0.8965,0.903,0.9046,0.8966666666666666,-0.0015999999999999348,0.9091666666666667,0.004023255813953595,0.0
0.5,2,gradient_boosting,stable_only,0.894,0.897,0.8999333333333333,0.8926666666666667,-0.0029333333333332323,0.9025,0.0035271317829459765,0.0
0.5,2,mlp,stable_only,0.905,0.9083333333333333,0.9101333333333332,0.9063333333333333,-0.0017999999999999128,0.9125000000000001,0.0036976744186049256,0.0
0.5,3,logistic_regression,all_features,0.932,0.9326666666666666,0.8666,0.8283333333333334,0.0660666666666666,0.8348333333333333,-0.07565891472868201,0.04150000000000009
0.5,3,rbf_svm,all_features,0.9305,0.9313333333333333,0.8556666666666667,0.8123333333333334,0.07566666666666666,0.8196666666666667,-0.08556589147286793,0.05049999999999999
0.5,3,random_forest,all_features,0.9305,0.926,0.8496666666666666,0.8,0.07633333333333348,0.8095,-0.08782945736434093,0.050000000000000044
