rho_train,rho_val,seed,model,feature_condition,validation_accuracy,validation_balanced_accuracy,validation_log_loss,permuted_validation_accuracy,spurious_reliance_score
0.5,0.5,0,logistic_regression,all_features,0.9335,0.9334939648171041,0.16220652118563553,0.884,0.04949999999999999
0.5,0.5,0,rbf_svm,all_features,0.9315,0.9315215782293329,0.16932615983962654,0.88,0.05149999999999999
0.5,0.5,0,random_forest,all_features,0.9195,0.9194912202791747,0.20077479289896297,0.8715,0.04799999999999993
0.5,0.5,0,gradient_boosting,all_features,0.9205,0.9204914163175983,0.210444921754542,0.866,0.05449999999999999
0.5,0.5,0,mlp,all_features,0.93,0.9301123020111942,0.1862692682841466,0.8555,0.07450000000000001
0.5,0.5,0,logistic_regression,stable_only,0.908,0.9079259534868834,0.20472319392699642,0.908,0.0
0.5,0.5,0,rbf_svm,stable_only,0.906,0.9059815723881881,0.21231886229496916,0.906,0.0
0.5,0.5,0,random_forest,stable_only,0.8955,0.8954305043788583,0.24031158640477981,0.8955,0.0
0.5,0.5,0,gradient_boosting,stable_only,0.888,0.8879920464411024,0.25697488311244887,0.888,0.0
0.5,0.5,0,mlp,stable_only,0.9085,0.9084890638565158,0.24607123293910432,0.9085,0.0
0.5,0.5,1,logistic_regression,all_features,0.9185,0.9183991398064565,0.17380528790502422,0.8675,0.050999999999999934
0.5,0.5,1,rbf_svm,all_features,0.915,0.9149058538171089,0.19418992785858838,0.849,0.06600000000000006
0.5,0.5,1,random_forest,all_features,0.9125,0.9123827861268785,0.2032664387768774,0.86,0.05249999999999999
0.5,0.5,1,gradient_boosting,all_features,0.9115,0.9113975644520017,0.22260444059013265,0.861,0.05049999999999999
0.5,0.5,1,mlp,all_features,0.9195,0.919459378360131,0.1782873667655416,0.869,0.05049999999999999
0.5,0.5,1,logistic_regression,stable_only,0.8985,0.8984396489210071,0.216905282635173,0.8985,0.0
0.5,0.5,1,rbf_svm,stable_only,0.894,0.893856117626466,0.2296412883601211,0.894,0.0
0.5,0.5,1,random_forest,stable_only,0.8915,0.8914380735665525,0.2493638054690382,0.8915,0.0
0.5,0.5,1,gradient_boosting,stable_only,0.8875,0.8874071666124879,0.2676411993743716,0.8875,0.0
0.5,0.5,1,mlp,stable_only,0.899,0.8990072766372434,0.21937562130340799,0.899,0.0
0.5,0.5,2,logistic_regression,all_features,0.9325,0.9326741821843989,0.1674597020587471,0.884,0.04849999999999999
0.5,0.5,2,rbf_svm,all_features,0.931,0.9310899569631328,0.18332642683405612,0.8715,0.0595
0.5,0.5,2,random_forest,all_features,0.924,0.9240823256526357,0.1935028000813414,0.8655,0.058499999999999996
0.5,0.5,2,gradient_boosting,all_features,0.922,0.9223444330876325,0.21348659321069136,0.8685,0.05349999999999999
0.5,0.5,2,mlp,all_features,0.9345,0.9346102906064704,0.16880935997283866,0.8775,0.05700000000000005
0.5,0.5,2,logistic_regression,stable_only,0.9075,0.9078451433611203,0.2094235599005224,0.9075,0.0
0.5,0.5,2,rbf_svm,stable_only,0.9085,0.9088792695245123,0.219461061060029,0.9085,0.0
0.5,0.5,2,random_forest,stable_only,0.8965,0.8968661872779458,0.23854668108684055,0.8965,0.0
0.5,0.5,2,gradient_boosting,stable_only,0.894,0.8943139078456439,0.27272559379369377,0.894,0.0
0.5,0.5,2,mlp,stable_only,0.905,0.9049955401432159,0.2110362638473727,0.905,0.0
0.5,0.5,3,logistic_regression,all_features,0.932,0.9319917279669119,0.15539677700651336,0.8905,0.04150000000000009
0.5,0.5,3,rbf_svm,all_features,0.9305,0.9304847219388878,0.16807543816841689,0.88,0.05049999999999999
0.5,0.5,3,random_forest,all_features,0.9305,0.9304867219468878,0.20095183274631254,0.8805,0.050000000000000044
0.5,0.5,3,gradient_boosting,all_features,0.9215,0.9214866859467438,0.19414953002945531,0.873,0.04849999999999999
0.5,0.5,3,mlp,all_features,0.9325,0.9324767299069197,0.16982112097630997,0.8835,0.049000000000000044
0.5,0.5,3,logistic_regression,stable_only,0.9095,0.9094746378985517,0.19465984693500069,0.9095,0.0
0.5,0.5,3,rbf_svm,stable_only,0.9095,0.9094626378505514,0.20682945233949654,0.9095,0.0
0.5,0.5,3,random_forest,stable_only,0.91,0.9099736398945595,0.22437842618017945,0.91,0.0
0.5,0.5,3,gradient_boosting,stable_only,0.906,0.9059816239264957,0.24490658625608097,0.906,0.0
0.5,0.5,3,mlp,stable_only,0.906,0.9059616238464954,0.19769808115258727,0.906,0.0
0.5,0.5,4,logistic_regression,all_features,0.9415,0.941320598131365,0.14699507876538648,0.8985,0.04300000000000004
0.5,0.5,4,rbf_svm,all_features,0.938,0.9379324083927397,0.1551956023060558,0.8885,0.04949999999999999
0.5,0.5,4,random_forest,all_features,0.935,0.9347639579502078,0.18241251915442347,0.879,0.05600000000000005
0.5,0.5,4,gradient_boosting,all_features,0.931,0.9309578130584206,0.178354573671964,0.8775,0.0535000000000001
0.5,0.5,4,mlp,all_features,0.9415,0.9412214902028309,0.1552151243253633,0.897,0.044499999999999984
0.5,0.5,4,logistic_regression,stable_only,0.919,0.9188125869071418,0.178242513796391,0.919,0.0
0.5,0.5,4,rbf_svm,stable_only,0.9195,0.9193957219411939,0.1848343571031075,0.9195,0.0
0.5,0.5,4,random_forest,stable_only,0.9155,0.9153583252161603,0.20948716739635972,0.9155,0.0
0.5,0.5,4,gradient_boosting,stable_only,0.9105,0.9102537663515569,0.20767132268822083,0.9105,0.0
0.5,0.5,4,mlp,stable_only,0.92,0.9197476051419997,0.20592093252632065,0.92,0.0
0.7,0.7,0,logistic_regression,all_features,0.9525,0.9524976895471513,0.11014631467317322,0.8405,0.11199999999999999
0.7,0.7,0,rbf_svm,all_features,0.9525,0.9525537005253029,0.11570197032979075,0.828,0.12450000000000006
0.7,0.7,0,random_forest,all_features,0.9475,0.9475387175886474,0.14273440738478244,0.792,0.15549999999999997
0.7,0.7,0,gradient_boosting,all_features,0.94,0.940030245928202,0.15465433950666863,0.7995,0.14049999999999996
0.7,0.7,0,mlp,all_features,0.9525,0.9525957087589167,0.1349325234687511,0.797,0.15549999999999997
0.7,0.7,0,logistic_regression,stable_only,0.908,0.9079259534868834,0.20472319392699642,0.908,0.0
0.7,0.7,0,rbf_svm,stable_only,0.906,0.9059815723881881,0.21231886229496916,0.906,0.0
0.7,0.7,0,random_forest,stable_only,0.8955,0.8954305043788583,0.24031158640477981,0.8955,0.0
0.7,0.7,0,gradient_boosting,stable_only,0.888,0.8879920464411024,0.25697488311244887,0.888,0.0
0.7,0.7,0,mlp,stable_only,0.9085,0.9084890638565158,0.24607123293910432,0.9085,0.0
0.7,0.7,1,logistic_regression,all_features,0.9495,0.9493911130004251,0.11746889967680105,0.81,0.13949999999999996
0.7,0.7,1,rbf_svm,all_features,0.946,0.945882823635318,0.1302771559530096,0.803,0.1429999999999999
0.7,0.7,1,random_forest,all_features,0.943,0.942942161986447,0.14824760334501522,0.781,0.16199999999999992
0.7,0.7,1,gradient_boosting,all_features,0.943,0.942942161986447,0.15031296099232708,0.7965,0.14649999999999996
0.7,0.7,1,mlp,all_features,0.9495,0.9493911130004251,0.12331567066088878,0.8,0.14949999999999997
0.7,0.7,1,logistic_regression,stable_only,0.8985,0.8984396489210071,0.216905282635173,0.8985,0.0
0.7,0.7,1,rbf_svm,stable_only,0.894,0.893856117626466,0.2296412883601211,0.894,0.0
0.7,0.7,1,random_forest,stable_only,0.8915,0.8914380735665525,0.2493638054690382,0.8915,0.0
0.7,0.7,1,gradient_boosting,stable_only,0.8875,0.8874071666124879,0.2676411993743716,0.8875,0.0
0.7,0.7,1,mlp,stable_only,0.899,0.8990072766372434,0.21937562130340799,0.899,0.0
0.7,0.7,2,logistic_regression,all_features,0.953,0.9530809051056601,0.11400185905738369,0.8335,0.11949999999999994
0.7,0.7,2,rbf_svm,all_features,0.9515,0.9516948957414625,0.12663560791610043,0.8205,0.131
0.7,0.7,2,random_forest,all_features,0.947,0.947206507887089,0.14523747014807714,0.7775,0.16949999999999998
0.7,0.7,2,gradient_boosting,all_features,0.9425,0.9427511560088937,0.1637645680055617,0.7965,0.14600000000000002
0.7,0.7,2,mlp,all_features,0.9525,0.9525308060477861,0.11607446819972986,0.828,0.12450000000000006
0.7,0.7,2,logistic_regression,stable_only,0.9075,0.9078451433611203,0.2094235599005224,0.9075,0.0
0.7,0.7,2,rbf_svm,stable_only,0.9085,0.9088792695245123,0.219461061060029,0.9085,0.0
0.7,0.7,2,random_forest,stable_only,0.8965,0.8968661872779458,0.23854668108684055,0.8965,0.0
0.7,0.7,2,gradient_boosting,stable_only,0.894,0.8943139078456439,0.27272559379369377,0.894,0.0
0.7,0.7,2,mlp,stable_only,0.905,0.9049955401432159,0.2110362638473727,0.905,0.0
0.7,0.7,3,logistic_regression,all_features,0.9595,0.959494837979352,0.10406498443303437,0.841,0.11850000000000005
0.7,0.7,3,rbf_svm,all_features,0.9565,0.9564948259793039,0.11256606808996146,0.8245,0.132
0.7,0.7,3,random_forest,all_features,0.9565,0.9565048260193041,0.13351154620050323,0.8065,0.15000000000000002
0.7,0.7,3,gradient_boosting,all_features,0.9485,0.948496793987176,0.13721510834844172,0.8095,0.139
0.7,0.7,3,mlp,all_features,0.9565,0.9564948259793039,0.11858258194507167,0.8175,0.139
0.7,0.7,3,logistic_regression,stable_only,0.9095,0.9094746378985517,0.19465984693500069,0.9095,0.0
