rho_train,replicate,model,feature_condition,environment_type,rho_environment,rho_ood,accuracy,balanced_accuracy,roc_auc,brier_score,log_loss
0.0,0,logistic_regression,all_features,iid_validation,0.0,,0.91,0.9099891086821505,0.9758420768913039,0.0627503339137699,0.19819368405458143
0.0,0,logistic_regression,all_features,iid_test,0.0,,0.9186666666666666,0.918667819330601,0.9788037909836067,0.0581370881199068,0.18728779993928327
0.0,0,logistic_regression,all_features,ood,0.3,0.3,0.905,0.9049233155019349,0.9744101944855451,0.06485263723680829,0.20430276045370385
0.0,0,logistic_regression,all_features,ood,-0.3,-0.3,0.9146666666666666,0.9146620773828281,0.9771209918400057,0.06056156227807614,0.1937373195050835
0.0,0,logistic_regression,all_features,ood,-0.6,-0.6,0.9156666666666666,0.9154603876105534,0.975765444552974,0.06256369766112671,0.19856804908681178
0.0,0,logistic_regression,all_features,ood,-0.9,-0.9,0.907,0.9071315785262253,0.9753973743685308,0.06317451578971271,0.20085819773559357
0.0,0,logistic_regression,stable_only,iid_validation,0.0,,0.9105,0.9104836685238914,0.9758490777384063,0.06272158751927075,0.1981569536925097
0.0,0,logistic_regression,stable_only,iid_test,0.0,,0.9183333333333333,0.9183262892759563,0.9787820006545992,0.05816497968916513,0.18732683347998574
0.0,0,logistic_regression,stable_only,ood,0.3,0.3,0.9046666666666666,0.904571192806738,0.974275036279308,0.065013056331461,0.20479980270792497
0.0,0,logistic_regression,stable_only,ood,-0.3,-0.3,0.915,0.9150027623707764,0.9772565546858297,0.06036993143806986,0.19320730383846482
0.0,0,logistic_regression,stable_only,ood,-0.6,-0.6,0.9156666666666666,0.9154790689233693,0.9759656014760016,0.062265213470211696,0.197700650341379
0.0,0,logistic_regression,stable_only,ood,-0.9,-0.9,0.907,0.9071315785262253,0.9757632308461021,0.06268247496627043,0.19942297042951615
0.0,0,rbf_svm,all_features,iid_validation,0.0,,0.9075,0.9075273108046074,0.9727737056183798,0.06567690127729264,0.2127188295121428
0.0,0,rbf_svm,all_features,iid_test,0.0,,0.9166666666666666,0.9166826758879781,0.9754663130407558,0.06170803619750124,0.2011172610254204
0.0,0,rbf_svm,all_features,ood,0.3,0.3,0.9036666666666666,0.9035521710676075,0.9706826734293194,0.06871875822952934,0.2201936902668695
0.0,0,rbf_svm,all_features,ood,-0.3,-0.3,0.912,0.9119952673010415,0.973854149489817,0.06425407783280172,0.20740940913586742
0.0,0,rbf_svm,all_features,ood,-0.6,-0.6,0.9106666666666666,0.9105405304425336,0.9722920547487008,0.06639404836414947,0.2138332016370125
0.0,0,rbf_svm,all_features,ood,-0.9,-0.9,0.902,0.9020767133907917,0.9722887056593505,0.06790176551362917,0.21461612298962898
0.0,0,rbf_svm,stable_only,iid_validation,0.0,,0.906,0.9059996259547405,0.9730807427698752,0.06587767224728751,0.21298902059789665
0.0,0,rbf_svm,stable_only,iid_test,0.0,,0.9166666666666666,0.9165546021174864,0.9766927972734516,0.05971049450471649,0.19673463960981188
0.0,0,rbf_svm,stable_only,ood,0.3,0.3,0.903,0.9028354768950604,0.9720106917254724,0.0678463186004229,0.2171791964723749
0.0,0,rbf_svm,stable_only,ood,-0.3,-0.3,0.913,0.9129635415949036,0.9751497747212183,0.06215856325299347,0.20371943041870888
0.0,0,rbf_svm,stable_only,ood,-0.6,-0.6,0.9143333333333333,0.9141260081237024,0.974224236245661,0.06352208175740948,0.20756127264989618
0.0,0,rbf_svm,stable_only,ood,-0.9,-0.9,0.907,0.9071120187631472,0.9738001418971902,0.06517125421169048,0.21081009887058136
0.0,0,random_forest,all_features,iid_validation,0.0,,0.9045,0.9045489504230011,0.9694758065725954,0.06947646752359057,0.22846707475237005
0.0,0,random_forest,all_features,iid_test,0.0,,0.911,0.9108926741803278,0.9724659181466302,0.06590962844019031,0.22043582519570964
0.0,0,random_forest,all_features,ood,0.3,0.3,0.8966666666666666,0.8964812628044616,0.9667695321391988,0.07249533977348206,0.2391269172168613
0.0,0,random_forest,all_features,ood,-0.3,-0.3,0.9086666666666666,0.9086470872433584,0.9694548017915632,0.06856196325661121,0.23923298715150826
0.0,0,random_forest,all_features,ood,-0.6,-0.6,0.9043333333333333,0.9041368432851355,0.9688340103085263,0.06963613215101895,0.23005641418459197
0.0,0,random_forest,all_features,ood,-0.9,-0.9,0.8976666666666666,0.8977179980049041,0.9683483024792889,0.07162942965309829,0.23311158623315806
0.0,0,random_forest,stable_only,iid_validation,0.0,,0.9075,0.9075603147980905,0.9699478636915067,0.06857020161681406,0.2254560022683147
0.0,0,random_forest,stable_only,iid_test,0.0,,0.9073333333333333,0.9072959357923497,0.9722844803051002,0.06625978540521724,0.21910304502350145
