model,rho_train,metric,mean,ci_lower,ci_upper,n_replicates
gradient_boosting,0.0,d3_excess,-0.0006500000000000006,-0.003100000000000001,0.00145,10
gradient_boosting,0.5,d3_excess,0.0379,0.03185,0.043899999999999995,10
gradient_boosting,0.7,d3_excess,0.06895,0.0645,0.07315,10
gradient_boosting,0.9,d3_excess,0.09494999999999999,0.09115000000000002,0.098625,20
logistic_regression,0.0,d3_excess,-0.00030000000000000003,-0.002,0.0010999999999999998,10
logistic_regression,0.5,d3_excess,0.0509,0.0477,0.05445124999999999,10
logistic_regression,0.7,d3_excess,0.07059999999999998,0.06664874999999999,0.07469999999999997,10
logistic_regression,0.9,d3_excess,0.0877,0.08535,0.089825,20
mlp,0.0,d3_excess,-0.00034999999999999994,-0.003,0.00215,10
mlp,0.5,d3_excess,0.050949999999999995,0.0452,0.05985,10
mlp,0.7,d3_excess,0.07375,0.0681,0.07914999999999998,10
mlp,0.9,d3_excess,0.08594999999999998,0.08357499999999998,0.08829999999999999,20
random_forest,0.0,d3_excess,0.0008500000000000003,-0.0005499999999999996,0.0022499999999999994,10
random_forest,0.5,d3_excess,0.05489999999999999,0.0503,0.05935,10
random_forest,0.7,d3_excess,0.08464999999999998,0.08099999999999999,0.08854999999999999,10
random_forest,0.9,d3_excess,0.097475,0.09415,0.10077499999999999,20
rbf_svm,0.0,d3_excess,-0.0027999999999999995,-0.00535,-0.0001999999999999993,10
rbf_svm,0.5,d3_excess,0.0479,0.04354999999999999,0.052500000000000005,10
rbf_svm,0.7,d3_excess,0.07039999999999999,0.06565,0.0756,10
rbf_svm,0.9,d3_excess,0.08825000000000001,0.08574999999999998,0.090625,20
