model,statistic_type,rho_from,rho_to,estimate,ci_lower,ci_upper,n_replicates,paired
gradient_boosting,ood_gap_level,,0.0,0.002933333333333332,-0.0012166666666666884,0.007083541666666661,10,False
gradient_boosting,ood_gap_level,,0.5,0.07588000000000002,0.07121983333333336,0.08092049999999995,10,False
gradient_boosting,ood_gap_level,,0.7,0.19417999999999996,0.18707316666666662,0.20204666666666662,10,False
gradient_boosting,ood_gap_level,,0.9,0.5434733333333334,0.5408999166666666,0.5460534166666667,20,False
logistic_regression,ood_gap_level,,0.0,0.0029750000000000054,-0.0013666666666666606,0.006950208333333342,10,False
logistic_regression,ood_gap_level,,0.5,0.07006666666666667,0.06556666666666669,0.07461333333333331,10,False
logistic_regression,ood_gap_level,,0.7,0.1660266666666666,0.16118666666666662,0.1716333333333333,10,False
logistic_regression,ood_gap_level,,0.9,0.4471366666666666,0.44277658333333336,0.45171358333333334,20,False
mlp,ood_gap_level,,0.0,0.0029166666666666672,-0.00222520833333333,0.00814999999999999,10,False
mlp,ood_gap_level,,0.5,0.08784000000000002,0.07386650000000002,0.10370016666666668,10,False
mlp,ood_gap_level,,0.7,0.1953266666666667,0.18101316666666664,0.20984666666666674,10,False
mlp,ood_gap_level,,0.9,0.39840333333333333,0.38469591666666664,0.41129675000000004,20,False
random_forest,ood_gap_level,,0.0,0.0028166666666666895,-0.001441874999999972,0.00710833333333334,10,False
random_forest,ood_gap_level,,0.5,0.08428,0.08014666666666663,0.08871366666666669,10,False
random_forest,ood_gap_level,,0.7,0.22687999999999997,0.22015333333333328,0.2329533333333333,10,False
random_forest,ood_gap_level,,0.9,0.5827866666666667,0.58106325,0.5846499999999999,20,False
rbf_svm,ood_gap_level,,0.0,0.003575000000000017,-0.0008249999999999328,0.008258333333333312,10,False
rbf_svm,ood_gap_level,,0.5,0.08316000000000001,0.07843333333333341,0.08836666666666664,10,False
rbf_svm,ood_gap_level,,0.7,0.18198000000000003,0.17673316666666666,0.18799333333333337,10,False
rbf_svm,ood_gap_level,,0.9,0.4454033333333333,0.44126650000000006,0.44993000000000005,20,False
logistic_regression,consecutive_paired_difference,0.0,0.5,0.06709166666666666,0.063198,0.07105670833333332,10,True
logistic_regression,consecutive_paired_difference,0.5,0.7,0.09595999999999996,0.09309333333333333,0.09868683333333331,10,True
logistic_regression,consecutive_paired_difference,0.7,0.9,0.2785000000000001,0.27201316666666664,0.28540683333333333,10,True
rbf_svm,consecutive_paired_difference,0.0,0.5,0.07958499999999999,0.0754698333333334,0.08387004166666662,10,True
rbf_svm,consecutive_paired_difference,0.5,0.7,0.09882,0.09593999999999998,0.10132000000000004,10,True
rbf_svm,consecutive_paired_difference,0.7,0.9,0.26276666666666665,0.25554,0.27029349999999996,10,True
random_forest,consecutive_paired_difference,0.0,0.5,0.0814633333333333,0.07803320833333337,0.08482166666666664,10,True
random_forest,consecutive_paired_difference,0.5,0.7,0.14259999999999998,0.13744666666666658,0.14777366666666658,10,True
random_forest,consecutive_paired_difference,0.7,0.9,0.35436000000000006,0.34807316666666666,0.3609203333333334,10,True
gradient_boosting,consecutive_paired_difference,0.0,0.5,0.07294666666666669,0.06850987499999994,0.07779837500000004,10,True
gradient_boosting,consecutive_paired_difference,0.5,0.7,0.11829999999999993,0.11417333333333332,0.12279349999999993,10,True
gradient_boosting,consecutive_paired_difference,0.7,0.9,0.3479666666666667,0.3419133333333334,0.3542268333333334,10,True
mlp,consecutive_paired_difference,0.0,0.5,0.08492333333333335,0.07282658333333342,0.09893899999999999,10,True
mlp,consecutive_paired_difference,0.5,0.7,0.10748666666666669,0.08707299999999998,0.12715333333333337,10,True
mlp,consecutive_paired_difference,0.7,0.9,0.20938666666666667,0.18511983333333323,0.23437333333333327,10,True
