rho_train,metric,model_a,model_b,probability_a_beats_b,probability_tie,n_replicates
0.0,iid_test,logistic_regression,rbf_svm,1.0,0.0,10
0.0,iid_test,logistic_regression,random_forest,1.0,0.0,10
0.0,iid_test,logistic_regression,gradient_boosting,1.0,0.0,10
0.0,iid_test,logistic_regression,mlp,0.7,0.1,10
0.0,iid_test,rbf_svm,logistic_regression,0.0,0.0,10
0.0,iid_test,rbf_svm,random_forest,1.0,0.0,10
0.0,iid_test,rbf_svm,gradient_boosting,1.0,0.0,10
0.0,iid_test,rbf_svm,mlp,0.3,0.1,10
0.0,iid_test,random_forest,logistic_regression,0.0,0.0,10
0.0,iid_test,random_forest,rbf_svm,0.0,0.0,10
0.0,iid_test,random_forest,gradient_boosting,0.8,0.1,10
0.0,iid_test,random_forest,mlp,0.0,0.0,10
0.0,iid_test,gradient_boosting,logistic_regression,0.0,0.0,10
0.0,iid_test,gradient_boosting,rbf_svm,0.0,0.0,10
0.0,iid_test,gradient_boosting,random_forest,0.1,0.1,10
0.0,iid_test,gradient_boosting,mlp,0.0,0.0,10
0.0,iid_test,mlp,logistic_regression,0.2,0.1,10
0.0,iid_test,mlp,rbf_svm,0.6,0.1,10
0.0,iid_test,mlp,random_forest,1.0,0.0,10
0.0,iid_test,mlp,gradient_boosting,1.0,0.0,10
0.0,average_ood,logistic_regression,rbf_svm,0.9,0.0,10
0.0,average_ood,logistic_regression,random_forest,1.0,0.0,10
0.0,average_ood,logistic_regression,gradient_boosting,1.0,0.0,10
0.0,average_ood,logistic_regression,mlp,0.9,0.0,10
0.0,average_ood,rbf_svm,logistic_regression,0.1,0.0,10
0.0,average_ood,rbf_svm,random_forest,1.0,0.0,10
0.0,average_ood,rbf_svm,gradient_boosting,1.0,0.0,10
0.0,average_ood,rbf_svm,mlp,0.3,0.0,10
0.0,average_ood,random_forest,logistic_regression,0.0,0.0,10
0.0,average_ood,random_forest,rbf_svm,0.0,0.0,10
0.0,average_ood,random_forest,gradient_boosting,0.9,0.0,10
0.0,average_ood,random_forest,mlp,0.0,0.0,10
0.0,average_ood,gradient_boosting,logistic_regression,0.0,0.0,10
0.0,average_ood,gradient_boosting,rbf_svm,0.0,0.0,10
0.0,average_ood,gradient_boosting,random_forest,0.1,0.0,10
0.0,average_ood,gradient_boosting,mlp,0.0,0.0,10
0.0,average_ood,mlp,logistic_regression,0.1,0.0,10
0.0,average_ood,mlp,rbf_svm,0.7,0.0,10
0.0,average_ood,mlp,random_forest,1.0,0.0,10
0.0,average_ood,mlp,gradient_boosting,1.0,0.0,10
0.5,iid_test,logistic_regression,rbf_svm,0.9,0.0,10
0.5,iid_test,logistic_regression,random_forest,1.0,0.0,10
0.5,iid_test,logistic_regression,gradient_boosting,1.0,0.0,10
0.5,iid_test,logistic_regression,mlp,0.8,0.0,10
0.5,iid_test,rbf_svm,logistic_regression,0.1,0.0,10
0.5,iid_test,rbf_svm,random_forest,1.0,0.0,10
0.5,iid_test,rbf_svm,gradient_boosting,1.0,0.0,10
0.5,iid_test,rbf_svm,mlp,0.4,0.2,10
0.5,iid_test,random_forest,logistic_regression,0.0,0.0,10
0.5,iid_test,random_forest,rbf_svm,0.0,0.0,10
0.5,iid_test,random_forest,gradient_boosting,0.7,0.0,10
0.5,iid_test,random_forest,mlp,0.1,0.0,10
0.5,iid_test,gradient_boosting,logistic_regression,0.0,0.0,10
0.5,iid_test,gradient_boosting,rbf_svm,0.0,0.0,10
0.5,iid_test,gradient_boosting,random_forest,0.3,0.0,10
0.5,iid_test,gradient_boosting,mlp,0.1,0.0,10
0.5,iid_test,mlp,logistic_regression,0.2,0.0,10
0.5,iid_test,mlp,rbf_svm,0.4,0.2,10
0.5,iid_test,mlp,random_forest,0.9,0.0,10
0.5,iid_test,mlp,gradient_boosting,0.9,0.0,10
0.5,average_ood,logistic_regression,rbf_svm,1.0,0.0,10
0.5,average_ood,logistic_regression,random_forest,1.0,0.0,10
0.5,average_ood,logistic_regression,gradient_boosting,1.0,0.0,10
0.5,average_ood,logistic_regression,mlp,0.8,0.0,10
0.5,average_ood,rbf_svm,logistic_regression,0.0,0.0,10
0.5,average_ood,rbf_svm,random_forest,1.0,0.0,10
0.5,average_ood,rbf_svm,gradient_boosting,0.6,0.0,10
0.5,average_ood,rbf_svm,mlp,0.5,0.0,10
0.5,average_ood,random_forest,logistic_regression,0.0,0.0,10
0.5,average_ood,random_forest,rbf_svm,0.0,0.0,10
0.5,average_ood,random_forest,gradient_boosting,0.0,0.0,10
0.5,average_ood,random_forest,mlp,0.3,0.0,10
0.5,average_ood,gradient_boosting,logistic_regression,0.0,0.0,10
0.5,average_ood,gradient_boosting,rbf_svm,0.4,0.0,10
0.5,average_ood,gradient_boosting,random_forest,1.0,0.0,10
0.5,average_ood,gradient_boosting,mlp,0.4,0.0,10
0.5,average_ood,mlp,logistic_regression,0.2,0.0,10
0.5,average_ood,mlp,rbf_svm,0.5,0.0,10
0.5,average_ood,mlp,random_forest,0.7,0.0,10
0.5,average_ood,mlp,gradient_boosting,0.6,0.0,10
0.7,iid_test,logistic_regression,rbf_svm,0.7,0.0,10
0.7,iid_test,logistic_regression,random_forest,1.0,0.0,10
0.7,iid_test,logistic_regression,gradient_boosting,1.0,0.0,10
0.7,iid_test,logistic_regression,mlp,0.7,0.1,10
0.7,iid_test,rbf_svm,logistic_regression,0.3,0.0,10
0.7,iid_test,rbf_svm,random_forest,1.0,0.0,10
0.7,iid_test,rbf_svm,gradient_boosting,1.0,0.0,10
0.7,iid_test,rbf_svm,mlp,0.4,0.0,10
0.7,iid_test,random_forest,logistic_regression,0.0,0.0,10
0.7,iid_test,random_forest,rbf_svm,0.0,0.0,10
0.7,iid_test,random_forest,gradient_boosting,0.3,0.1,10
0.7,iid_test,random_forest,mlp,0.0,0.0,10
0.7,iid_test,gradient_boosting,logistic_regression,0.0,0.0,10
0.7,iid_test,gradient_boosting,rbf_svm,0.0,0.0,10
0.7,iid_test,gradient_boosting,random_forest,0.6,0.1,10
0.7,iid_test,gradient_boosting,mlp,0.0,0.1,10
0.7,iid_test,mlp,logistic_regression,0.2,0.1,10
0.7,iid_test,mlp,rbf_svm,0.6,0.0,10
0.7,iid_test,mlp,random_forest,1.0,0.0,10
0.7,iid_test,mlp,gradient_boosting,0.9,0.1,10
0.7,average_ood,logistic_regression,rbf_svm,1.0,0.0,10
0.7,average_ood,logistic_regression,random_forest,1.0,0.0,10
0.7,average_ood,logistic_regression,gradient_boosting,1.0,0.0,10
0.7,average_ood,logistic_regression,mlp,0.8,0.0,10
0.7,average_ood,rbf_svm,logistic_regression,0.0,0.0,10
0.7,average_ood,rbf_svm,random_forest,1.0,0.0,10
0.7,average_ood,rbf_svm,gradient_boosting,1.0,0.0,10
0.7,average_ood,rbf_svm,mlp,0.6,0.0,10
0.7,average_ood,random_forest,logistic_regression,0.0,0.0,10
0.7,average_ood,random_forest,rbf_svm,0.0,0.0,10
0.7,average_ood,random_forest,gradient_boosting,0.0,0.0,10
0.7,average_ood,random_forest,mlp,0.1,0.0,10
0.7,average_ood,gradient_boosting,logistic_regression,0.0,0.0,10
0.7,average_ood,gradient_boosting,rbf_svm,0.0,0.0,10
0.7,average_ood,gradient_boosting,random_forest,1.0,0.0,10
0.7,average_ood,gradient_boosting,mlp,0.4,0.0,10
0.7,average_ood,mlp,logistic_regression,0.2,0.0,10
0.7,average_ood,mlp,rbf_svm,0.4,0.0,10
0.7,average_ood,mlp,random_forest,0.9,0.0,10
0.7,average_ood,mlp,gradient_boosting,0.6,0.0,10
0.9,iid_test,logistic_regression,rbf_svm,0.45,0.25,20
0.9,iid_test,logistic_regression,random_forest,1.0,0.0,20
0.9,iid_test,logistic_regression,gradient_boosting,1.0,0.0,20
0.9,iid_test,logistic_regression,mlp,0.6,0.1,20
0.9,iid_test,rbf_svm,logistic_regression,0.3,0.25,20
0.9,iid_test,rbf_svm,random_forest,1.0,0.0,20
0.9,iid_test,rbf_svm,gradient_boosting,1.0,0.0,20
0.9,iid_test,rbf_svm,mlp,0.6,0.0,20
0.9,iid_test,random_forest,logistic_regression,0.0,0.0,20
0.9,iid_test,random_forest,rbf_svm,0.0,0.0,20
0.9,iid_test,random_forest,gradient_boosting,0.25,0.0,20
0.9,iid_test,random_forest,mlp,0.1,0.1,20
0.9,iid_test,gradient_boosting,logistic_regression,0.0,0.0,20
0.9,iid_test,gradient_boosting,rbf_svm,0.0,0.0,20
0.9,iid_test,gradient_boosting,random_forest,0.75,0.0,20
0.9,iid_test,gradient_boosting,mlp,0.15,0.0,20
0.9,iid_test,mlp,logistic_regression,0.3,0.1,20
0.9,iid_test,mlp,rbf_svm,0.4,0.0,20
0.9,iid_test,mlp,random_forest,0.8,0.1,20
0.9,iid_test,mlp,gradient_boosting,0.85,0.0,20
0.9,average_ood,logistic_regression,rbf_svm,0.4,0.0,20
0.9,average_ood,logistic_regression,random_forest,1.0,0.0,20
0.9,average_ood,logistic_regression,gradient_boosting,1.0,0.0,20
0.9,average_ood,logistic_regression,mlp,0.1,0.0,20
0.9,average_ood,rbf_svm,logistic_regression,0.6,0.0,20
0.9,average_ood,rbf_svm,random_forest,1.0,0.0,20
0.9,average_ood,rbf_svm,gradient_boosting,1.0,0.0,20
0.9,average_ood,rbf_svm,mlp,0.05,0.0,20
0.9,average_ood,random_forest,logistic_regression,0.0,0.0,20
