rho_train,replicate,metric,model,score,rank,is_best
0.0,0,iid_test,gradient_boosting,0.908,5.0,False
0.0,0,iid_test,logistic_regression,0.9186666666666666,1.5,True
0.0,0,iid_test,mlp,0.9186666666666666,1.5,True
0.0,0,iid_test,random_forest,0.911,4.0,False
0.0,0,iid_test,rbf_svm,0.9166666666666666,3.0,False
0.0,1,iid_test,gradient_boosting,0.8993333333333333,4.0,False
0.0,1,iid_test,logistic_regression,0.911,1.0,True
0.0,1,iid_test,mlp,0.9043333333333333,3.0,False
0.0,1,iid_test,random_forest,0.8976666666666666,5.0,False
0.0,1,iid_test,rbf_svm,0.907,2.0,False
0.0,2,iid_test,gradient_boosting,0.9133333333333333,5.0,False
0.0,2,iid_test,logistic_regression,0.9206666666666666,1.0,True
0.0,2,iid_test,mlp,0.9203333333333333,2.5,False
0.0,2,iid_test,random_forest,0.9136666666666666,4.0,False
0.0,2,iid_test,rbf_svm,0.9203333333333333,2.5,False
0.0,3,iid_test,gradient_boosting,0.8946666666666667,5.0,False
0.0,3,iid_test,logistic_regression,0.9013333333333333,1.0,True
0.0,3,iid_test,mlp,0.899,3.0,False
0.0,3,iid_test,random_forest,0.8956666666666667,4.0,False
0.0,3,iid_test,rbf_svm,0.9006666666666666,2.0,False
0.0,4,iid_test,gradient_boosting,0.911,4.5,False
0.0,4,iid_test,logistic_regression,0.9193333333333333,2.0,False
0.0,4,iid_test,mlp,0.9203333333333333,1.0,True
0.0,4,iid_test,random_forest,0.911,4.5,False
0.0,4,iid_test,rbf_svm,0.9176666666666666,3.0,False
0.0,5,iid_test,gradient_boosting,0.9053333333333333,5.0,False
0.0,5,iid_test,logistic_regression,0.9166666666666666,1.0,True
0.0,5,iid_test,mlp,0.9136666666666666,3.0,False
0.0,5,iid_test,random_forest,0.91,4.0,False
0.0,5,iid_test,rbf_svm,0.914,2.0,False
0.0,6,iid_test,gradient_boosting,0.8973333333333333,5.0,False
0.0,6,iid_test,logistic_regression,0.9096666666666666,2.0,False
0.0,6,iid_test,mlp,0.9116666666666666,1.0,True
0.0,6,iid_test,random_forest,0.898,4.0,False
0.0,6,iid_test,rbf_svm,0.9086666666666666,3.0,False
