rho_train,replicate,model,d3_flip_rate_noise,d3_probability_sensitivity_noise,auxiliary_train_r2_noise
0.0,0,logistic_regression,0.0005,0.0003217944369849917,0.0003001166577384362
0.0,0,rbf_svm,0.0155,0.019580386872046038,0.0003001166577384362
0.0,0,random_forest,0.011,0.01860091507936508,0.0003001166577384362
0.0,0,gradient_boosting,0.0215,0.024807832637964915,0.0003001166577384362
0.0,0,mlp,0.0125,0.010353187757244564,0.0003001166577384362
0.0,1,logistic_regression,0.001,0.0025902781488989063,0.00014568650008595085
0.0,1,rbf_svm,0.0175,0.019141376711924115,0.00014568650008595085
0.0,1,random_forest,0.011,0.01761447792207792,0.00014568650008595085
0.0,1,gradient_boosting,0.019,0.021243694618564738,0.00014568650008595085
0.0,1,mlp,0.02,0.01868313796252005,0.00014568650008595085
0.0,2,logistic_regression,0.001,0.0011054846503845861,0.0010306740088690258
0.0,2,rbf_svm,0.015,0.018487979313236255,0.0010306740088690258
0.0,2,random_forest,0.0105,0.017649238888888887,0.0010306740088690258
0.0,2,gradient_boosting,0.029,0.02629739047167848,0.0010306740088690258
0.0,2,mlp,0.0065,0.00883960662444686,0.0010306740088690258
0.0,3,logistic_regression,0.0,0.000787794078343206,0.00038766512038701517
0.0,3,rbf_svm,0.013,0.015235155677012722,0.00038766512038701517
0.0,3,random_forest,0.0155,0.018254199134199133,0.00038766512038701517
0.0,3,gradient_boosting,0.025,0.024321448320273813,0.00038766512038701517
0.0,3,mlp,0.0075,0.010334985013926464,0.00038766512038701517
0.0,4,logistic_regression,0.008,0.007283727733455601,0.0007554864096686043
0.0,4,rbf_svm,0.0175,0.019398609091820597,0.0007554864096686043
0.0,4,random_forest,0.0115,0.01782266955266956,0.0007554864096686043
0.0,4,gradient_boosting,0.021,0.02408339257314693,0.0007554864096686043
0.0,4,mlp,0.0115,0.012433960268345359,0.0007554864096686043
0.0,5,logistic_regression,0.0035,0.003446077683064763,2.89178048383798e-05
0.0,5,rbf_svm,0.0115,0.017207241648720995,2.89178048383798e-05
0.0,5,random_forest,0.0155,0.017321859523809522,2.89178048383798e-05
0.0,5,gradient_boosting,0.026,0.028319038133677046,2.89178048383798e-05
0.0,5,mlp,0.0105,0.011274975206891608,2.89178048383798e-05
0.0,6,logistic_regression,0.0055,0.003938483186828367,0.000531007332207234
0.0,6,rbf_svm,0.0185,0.019086351914195165,0.000531007332207234
0.0,6,random_forest,0.0125,0.017466269047619047,0.000531007332207234
0.0,6,gradient_boosting,0.035,0.02794821486282725,0.000531007332207234
0.0,6,mlp,0.011,0.009836576719532232,0.000531007332207234
0.0,7,logistic_regression,0.0065,0.004980567682919752,0.0005640883361243132
0.0,7,rbf_svm,0.0115,0.01518711302639472,0.0005640883361243132
0.0,7,random_forest,0.0125,0.015841341991341993,0.0005640883361243132
0.0,7,gradient_boosting,0.019,0.021132211033123568,0.0005640883361243132
0.0,7,mlp,0.013,0.010657814322000494,0.0005640883361243132
0.0,8,logistic_regression,0.0015,0.0009793103310314667,0.00017043864519217244
0.0,8,rbf_svm,0.0185,0.018322042078738186,0.00017043864519217244
0.0,8,random_forest,0.0155,0.01790053455988456,0.00017043864519217244
0.0,8,gradient_boosting,0.027,0.02510384760690674,0.00017043864519217244
0.0,8,mlp,0.0115,0.009140516147698705,0.00017043864519217244
0.0,9,logistic_regression,0.0045,0.003384920031954453,0.0010336083211166525
0.0,9,rbf_svm,0.016,0.015775675509421258,0.0010336083211166525
0.0,9,random_forest,0.0125,0.016031649999999998,0.0010336083211166525
0.0,9,gradient_boosting,0.022,0.0228770924502744,0.0010336083211166525
0.0,9,mlp,0.0135,0.013728157374814259,0.0010336083211166525
0.5,0,logistic_regression,0.0015,0.0010890931600013333,0.0003001166577384362
0.5,0,rbf_svm,0.0115,0.014794649693101881,0.0003001166577384362
0.5,0,random_forest,0.011,0.013181276046176046,0.0003001166577384362
0.5,0,gradient_boosting,0.022,0.019552002329708634,0.0003001166577384362
0.5,0,mlp,0.007,0.008335738400498893,0.0003001166577384362
0.5,1,logistic_regression,0.001,0.001688664486827951,0.00014568650008595085
0.5,1,rbf_svm,0.01,0.013879336260772987,0.00014568650008595085
0.5,1,random_forest,0.0085,0.01364928189033189,0.00014568650008595085
0.5,1,gradient_boosting,0.025,0.022920039759183945,0.00014568650008595085
0.5,1,mlp,0.0135,0.01511589744413678,0.00014568650008595085
0.5,2,logistic_regression,0.002,0.0006238190763550215,0.0010306740088690258
0.5,2,rbf_svm,0.011,0.012009534232378131,0.0010306740088690258
0.5,2,random_forest,0.008,0.012846768470418471,0.0010306740088690258
0.5,2,gradient_boosting,0.017,0.018656265614396112,0.0010306740088690258
0.5,2,mlp,0.0095,0.01484363566432433,0.0010306740088690258
0.5,3,logistic_regression,0.001,0.0007785307534750292,0.00038766512038701517
0.5,3,rbf_svm,0.008,0.012319455735007073,0.00038766512038701517
0.5,3,random_forest,0.0055,0.012958048412698413,0.00038766512038701517
0.5,3,gradient_boosting,0.014,0.017731243110003025,0.00038766512038701517
0.5,3,mlp,0.01,0.008444181506697603,0.00038766512038701517
0.5,4,logistic_regression,0.0055,0.006490509045706066,0.0007554864096686043
0.5,4,rbf_svm,0.0115,0.014608298802597957,0.0007554864096686043
0.5,4,random_forest,0.006,0.012854149855699853,0.0007554864096686043
0.5,4,gradient_boosting,0.0175,0.018959608785392944,0.0007554864096686043
0.5,4,mlp,0.0145,0.01423634618938539,0.0007554864096686043
0.5,5,logistic_regression,0.0025,0.002095038898325681,2.89178048383798e-05
0.5,5,rbf_svm,0.012,0.013282304930909407,2.89178048383798e-05
0.5,5,random_forest,0.0085,0.013294673015873016,2.89178048383798e-05
0.5,5,gradient_boosting,0.018,0.02319371768538733,2.89178048383798e-05
0.5,5,mlp,0.0055,0.007966886728379842,2.89178048383798e-05
0.5,6,logistic_regression,0.0035,0.0032509853216120704,0.000531007332207234
0.5,6,rbf_svm,0.009,0.012436133504712774,0.000531007332207234
0.5,6,random_forest,0.0055,0.012171093650793652,0.000531007332207234
0.5,6,gradient_boosting,0.0165,0.015101546324141119,0.000531007332207234
0.5,6,mlp,0.0065,0.007885796004549911,0.000531007332207234
0.5,7,logistic_regression,0.003,0.005002479847256296,0.0005640883361243132
0.5,7,rbf_svm,0.0045,0.010882116321270367,0.0005640883361243132
0.5,7,random_forest,0.0105,0.012088161904761904,0.0005640883361243132
0.5,7,gradient_boosting,0.021,0.016963621618900755,0.0005640883361243132
0.5,7,mlp,0.0095,0.008708356810034153,0.0005640883361243132
0.5,8,logistic_regression,0.001,0.0006011957495949655,0.00017043864519217244
0.5,8,rbf_svm,0.01,0.014752486814070327,0.00017043864519217244
0.5,8,random_forest,0.011,0.013911810606060605,0.00017043864519217244
0.5,8,gradient_boosting,0.023,0.0213608118703439,0.00017043864519217244
0.5,8,mlp,0.0075,0.007611222234704977,0.00017043864519217244
0.5,9,logistic_regression,0.001,0.0017569856949869532,0.0010336083211166525
0.5,9,rbf_svm,0.0085,0.01027909131248066,0.0010336083211166525
0.5,9,random_forest,0.0045,0.012335515079365077,0.0010336083211166525
0.5,9,gradient_boosting,0.0165,0.01663433991884067,0.0010336083211166525
0.5,9,mlp,0.011,0.01014539665354415,0.0010336083211166525
0.7,0,logistic_regression,0.0005,0.0008042877983663792,0.0003001166577384362
0.7,0,rbf_svm,0.006,0.009734112808182262,0.0003001166577384362
0.7,0,random_forest,0.0035,0.00915634761904762,0.0003001166577384362
0.7,0,gradient_boosting,0.017,0.01573063517747258,0.0003001166577384362
0.7,0,mlp,0.005,0.005750150439120253,0.0003001166577384362
0.7,1,logistic_regression,0.002,0.0015247968509757373,0.00014568650008595085
0.7,1,rbf_svm,0.0065,0.010002526189823209,0.00014568650008595085
0.7,1,random_forest,0.004,0.010076942063492064,0.00014568650008595085
0.7,1,gradient_boosting,0.0115,0.017906495646653257,0.00014568650008595085
0.7,1,mlp,0.0075,0.008556931247772445,0.00014568650008595085
0.7,2,logistic_regression,0.0025,0.0020186278024893435,0.0010306740088690258
0.7,2,rbf_svm,0.003,0.008569640847751966,0.0010306740088690258
0.7,2,random_forest,0.0045,0.00951775642135642,0.0010306740088690258
0.7,2,gradient_boosting,0.011,0.012609520099818815,0.0010306740088690258
0.7,2,mlp,0.0025,0.004657069627051614,0.0010306740088690258
0.7,3,logistic_regression,0.0005,0.0005128437355533779,0.00038766512038701517
0.7,3,rbf_svm,0.0045,0.010561028762230794,0.00038766512038701517
0.7,3,random_forest,0.005,0.008876579365079365,0.00038766512038701517
0.7,3,gradient_boosting,0.012,0.009810915280496992,0.00038766512038701517
0.7,3,mlp,0.004,0.006394996632350383,0.00038766512038701517
0.7,4,logistic_regression,0.0055,0.005392550898394406,0.0007554864096686043
0.7,4,rbf_svm,0.009,0.010624289924536288,0.0007554864096686043
0.7,4,random_forest,0.0025,0.010052494444444447,0.0007554864096686043
0.7,4,gradient_boosting,0.011,0.010647975691081113,0.0007554864096686043
0.7,4,mlp,0.007,0.009455376469440432,0.0007554864096686043
0.7,5,logistic_regression,0.0015,0.001640724225558252,2.89178048383798e-05
0.7,5,rbf_svm,0.005,0.009428233792228777,2.89178048383798e-05
0.7,5,random_forest,0.0075,0.009270746464646467,2.89178048383798e-05
0.7,5,gradient_boosting,0.015,0.015173670206758003,2.89178048383798e-05
0.7,5,mlp,0.004,0.00876866986150887,2.89178048383798e-05
0.7,6,logistic_regression,0.004,0.0021448214458289626,0.000531007332207234
0.7,6,rbf_svm,0.0045,0.00816952118401327,0.000531007332207234
0.7,6,random_forest,0.002,0.008824069047619046,0.000531007332207234
0.7,6,gradient_boosting,0.0065,0.010115165348060486,0.000531007332207234
0.7,6,mlp,0.003,0.008458259031636104,0.000531007332207234
0.7,7,logistic_regression,0.003,0.003940233514056603,0.0005640883361243132
0.7,7,rbf_svm,0.0025,0.008070323970191168,0.0005640883361243132
0.7,7,random_forest,0.006,0.009854698340548338,0.0005640883361243132
0.7,7,gradient_boosting,0.006,0.010913529726138056,0.0005640883361243132
0.7,7,mlp,0.009,0.010049509619449854,0.0005640883361243132
0.7,8,logistic_regression,0.0005,0.0014581324532469211,0.00017043864519217244
0.7,8,rbf_svm,0.0075,0.010141802535170837,0.00017043864519217244
0.7,8,random_forest,0.0085,0.00988400873015873,0.00017043864519217244
0.7,8,gradient_boosting,0.0145,0.014910568812052208,0.00017043864519217244
0.7,8,mlp,0.001,0.005159499214812802,0.00017043864519217244
