rho_train,replicate,model,iid_accuracy_all,iid_accuracy_stable_only,raw_loco,loco_normalized
0.0,0,logistic_regression,0.91,0.9105,-0.0004999999999999449,-0.005586592178770333
0.0,0,rbf_svm,0.9075,0.906,0.0014999999999999458,0.015957446808510068
0.0,0,random_forest,0.9045,0.9075,-0.0030000000000000027,-0.032432432432432455
0.0,0,gradient_boosting,0.8965,0.8975,-0.0010000000000000009,-0.009756097560975615
0.0,0,mlp,0.905,0.9045,0.000500000000000056,0.005235602094241422
0.0,1,logistic_regression,0.9175,0.9175,0.0,0.0
0.0,1,rbf_svm,0.9175,0.922,-0.0045000000000000595,-0.05769230769230849
0.0,1,random_forest,0.908,0.9085,-0.0004999999999999449,-0.005464480874316336
0.0,1,gradient_boosting,0.9065,0.909,-0.0025000000000000577,-0.027472527472528117
0.0,1,mlp,0.9145,0.919,-0.0045000000000000595,-0.055555555555556316
0.0,2,logistic_regression,0.9025,0.9025,0.0,0.0
0.0,2,rbf_svm,0.8975,0.898,-0.000500000000000056,-0.004901960784314275
0.0,2,random_forest,0.8965,0.8975,-0.0010000000000000009,-0.009756097560975615
0.0,2,gradient_boosting,0.9035,0.8965,0.007000000000000006,0.06763285024154593
0.0,2,mlp,0.9025,0.897,0.005499999999999949,0.0533980582524267
0.0,3,logistic_regression,0.9075,0.9085,-0.0010000000000000009,-0.010928961748633887
0.0,3,rbf_svm,0.903,0.9055,-0.0024999999999999467,-0.026455026455025885
0.0,3,random_forest,0.8945,0.897,-0.0025000000000000577,-0.02427184466019474
0.0,3,gradient_boosting,0.8925,0.894,-0.0015000000000000568,-0.014150943396226953
0.0,3,mlp,0.9065,0.906,0.0004999999999999449,0.005319148936169629
0.0,4,logistic_regression,0.9225,0.9195,0.0030000000000000027,0.037267080745341644
0.0,4,rbf_svm,0.9165,0.92,-0.0035000000000000586,-0.043750000000000754
0.0,4,random_forest,0.9125,0.9145,-0.0020000000000000018,-0.023391812865497092
0.0,4,gradient_boosting,0.9115,0.916,-0.0045000000000000595,-0.053571428571429304
0.0,4,mlp,0.9205,0.9225,-0.0020000000000000018,-0.025806451612903243
0.0,5,logistic_regression,0.91,0.9085,0.0015000000000000568,0.016393442622951435
0.0,5,rbf_svm,0.9065,0.911,-0.0045000000000000595,-0.050561797752809674
0.0,5,random_forest,0.9005,0.8935,0.007000000000000006,0.06572769953051646
0.0,5,gradient_boosting,0.8985,0.892,0.00649999999999995,0.06018518518518473
0.0,5,mlp,0.911,0.9125,-0.0014999999999999458,-0.01714285714285652
0.0,6,logistic_regression,0.909,0.9095,-0.0004999999999999449,-0.005524861878452429
0.0,6,rbf_svm,0.9035,0.9085,-0.0050000000000000044,-0.05464480874316943
0.0,6,random_forest,0.911,0.904,0.007000000000000006,0.07291666666666675
0.0,6,gradient_boosting,0.9025,0.9,0.0024999999999999467,0.024999999999999474
0.0,6,mlp,0.9045,0.91,-0.00550000000000006,-0.0611111111111118
0.0,7,logistic_regression,0.9085,0.909,-0.000500000000000056,-0.005494505494506112
0.0,7,rbf_svm,0.9075,0.9095,-0.0020000000000000018,-0.022099447513812168
