fit_id,status,bridge_prereg_frozen_sha,phase2_prereg_frozen_sha,rho_train,dataset_seed,learner,feature_order,bridge_init_seed,n_train,n_iid_test,n_probe,early_stopping,max_iter,n_iter,converged_before_max_iter,loss_curve_length,best_validation_score,validation_score_length,warning_messages,scaler_train_mean,scaler_train_scale,fit_seconds,terminal_fidelity,terminal_d3,terminal_iid_accuracy,final_ood_gap,ood
rho0p9_seed00_mlp_l,SUCCESS,664d02a9f1c928713169866b2f5b3225b3554435,654e72b39310847b0d369796c31825e379aaf909,0.9,0,phase1_mlp_l,"['x1', 'x2', 'x3', 'x_spurious', 'z']",2027451170,5000,3000,4000,True,250,27,True,27,0.988,27,[],"[-0.007213310997373465, 0.016241048245067186, 0.0025949799255607486, -0.010919320761219868, 0.009182924356052046]","[0.9980599120097241, 0.9988972049713533, 0.9875576851708666, 1.000675055820874, 0.9744003715390501]",0.3508295999999973,0.96325,0.5606666666666666,0.9896666666666667,0.32880000000000004,"[{'rho_ood': -0.9, 'accuracy': 0.43366666666666664, 'ood_gap': 0.556}, {'rho_ood': -0.6, 'accuracy': 0.595, 'ood_gap': 0.3946666666666667}, {'rho_ood': -0.3, 'accuracy': 0.6786666666666666, 'ood_gap': 0.31100000000000005}, {'rho_ood': 0.0, 'accuracy': 0.7636666666666667, 'ood_gap': 0.22599999999999998}, {'rho_ood': 0.3, 'accuracy': 0.8333333333333334, 'ood_gap': 0.15633333333333332}]"
rho0p9_seed01_mlp_l,SUCCESS,664d02a9f1c928713169866b2f5b3225b3554435,654e72b39310847b0d369796c31825e379aaf909,0.9,1,phase1_mlp_l,"['x1', 'x2', 'x3', 'x_spurious', 'z']",2497586180,5000,3000,4000,True,250,32,True,32,0.994,32,[],"[0.010074984499377373, -0.011091868992560979, -0.009420033174659982, 0.001140134761500805, 0.008909534179472893]","[0.9952261669681483, 1.007028055970519, 1.0072184089025287, 1.0004101795106166, 0.9989786556071927]",0.4978306999983033,0.9735,0.481,0.9883333333333333,0.29066666666666663,"[{'rho_ood': -0.9, 'accuracy': 0.5296666666666666, 'ood_gap': 0.45866666666666667}, {'rho_ood': -0.6, 'accuracy': 0.6336666666666667, 'ood_gap': 0.3546666666666666}, {'rho_ood': -0.3, 'accuracy': 0.7013333333333334, 'ood_gap': 0.2869999999999999}, {'rho_ood': 0.0, 'accuracy': 0.777, 'ood_gap': 0.21133333333333326}, {'rho_ood': 0.3, 'accuracy': 0.8466666666666667, 'ood_gap': 0.1416666666666666}]"
rho0p9_seed02_mlp_l,SUCCESS,664d02a9f1c928713169866b2f5b3225b3554435,654e72b39310847b0d369796c31825e379aaf909,0.9,2,phase1_mlp_l,"['x1', 'x2', 'x3', 'x_spurious', 'z']",1794064377,5000,3000,4000,True,250,24,True,24,0.99,24,[],"[-0.02179302403034995, -0.008967382436831154, -0.026406237870163808, -0.028627990678758222, 0.014946186808061396]","[1.0090625241676983, 1.0061868725431578, 1.0076951631655962, 1.0055782867372849, 1.0055253790252974]",0.3640741999988677,0.9455,0.4673333333333333,0.99,0.3037333333333333,"[{'rho_ood': -0.9, 'accuracy': 0.5106666666666667, 'ood_gap': 0.4793333333333333}, {'rho_ood': -0.6, 'accuracy': 0.618, 'ood_gap': 0.372}, {'rho_ood': -0.3, 'accuracy': 0.685, 'ood_gap': 0.30499999999999994}, {'rho_ood': 0.0, 'accuracy': 0.7746666666666666, 'ood_gap': 0.21533333333333338}, {'rho_ood': 0.3, 'accuracy': 0.843, 'ood_gap': 0.14700000000000002}]"
rho0p9_seed03_mlp_l,SUCCESS,664d02a9f1c928713169866b2f5b3225b3554435,654e72b39310847b0d369796c31825e379aaf909,0.9,3,phase1_mlp_l,"['x1', 'x2', 'x3', 'x_spurious', 'z']",752827249,5000,3000,4000,True,250,39,True,39,0.99,39,[],"[0.007221256148371197, 0.0045849494923696395, 0.0073283203790897285, -0.01232720311107636, 0.031227104799506702]","[0.9838751354349272, 0.984657901183686, 0.9893178952990195, 0.9987071948858073, 1.0096114186378444]",0.4906745000043884,0.974,0.621,0.9903333333333333,0.37746666666666656,"[{'rho_ood': -0.9, 'accuracy': 0.36833333333333335, 'ood_gap': 0.6219999999999999}, {'rho_ood': -0.6, 'accuracy': 0.529, 'ood_gap': 0.46133333333333326}, {'rho_ood': -0.3, 'accuracy': 0.6406666666666667, 'ood_gap': 0.34966666666666657}, {'rho_ood': 0.0, 'accuracy': 0.7226666666666667, 'ood_gap': 0.2676666666666666}, {'rho_ood': 0.3, 'accuracy': 0.8036666666666666, 'ood_gap': 0.18666666666666665}]"
rho0p9_seed04_mlp_l,SUCCESS,664d02a9f1c928713169866b2f5b3225b3554435,654e72b39310847b0d369796c31825e379aaf909,0.9,4,phase1_mlp_l,"['x1', 'x2', 'x3', 'x_spurious', 'z']",4223650265,5000,3000,4000,True,250,46,True,46,0.988,46,[],"[0.01404696318639842, 0.026646514386348498, 0.0006262430142858591, -0.0028152425197811976, -0.01577898795720106]","[1.0049230505485562, 1.017524398242309, 0.9961012663305969, 1.014520089443708, 0.9894130378036711]",0.5877932000003057,0.97675,0.5166666666666667,0.9936666666666667,0.3234,"[{'rho_ood': -0.9, 'accuracy': 0.47633333333333333, 'ood_gap': 0.5173333333333334}, {'rho_ood': -0.6, 'accuracy': 0.5906666666666667, 'ood_gap': 0.403}, {'rho_ood': -0.3, 'accuracy': 0.6806666666666666, 'ood_gap': 0.31300000000000006}, {'rho_ood': 0.0, 'accuracy': 0.763, 'ood_gap': 0.2306666666666667}, {'rho_ood': 0.3, 'accuracy': 0.8406666666666667, 'ood_gap': 0.15300000000000002}]"
rho0p9_seed05_mlp_l,SUCCESS,664d02a9f1c928713169866b2f5b3225b3554435,654e72b39310847b0d369796c31825e379aaf909,0.9,5,phase1_mlp_l,"['x1', 'x2', 'x3', 'x_spurious', 'z']",2626500816,5000,3000,4000,True,250,35,True,35,0.996,35,[],"[-0.010988990814160651, 0.005443055950789608, -0.02192403180498186, -0.011614298914743183, 0.0035087211600819033]","[1.0005186985508256, 1.0076696426621568, 0.9835978586621759, 0.9926678076287054, 1.0072170671003169]",0.5450014000016381,0.96,0.538,0.9903333333333333,0.3270666666666666,"[{'rho_ood': -0.9, 'accuracy': 0.45866666666666667, 'ood_gap': 0.5316666666666666}, {'rho_ood': -0.6, 'accuracy': 0.5803333333333334, 'ood_gap': 0.4099999999999999}, {'rho_ood': -0.3, 'accuracy': 0.6816666666666666, 'ood_gap': 0.30866666666666664}, {'rho_ood': 0.0, 'accuracy': 0.76, 'ood_gap': 0.23033333333333328}, {'rho_ood': 0.3, 'accuracy': 0.8356666666666667, 'ood_gap': 0.15466666666666662}]"
rho0p9_seed06_mlp_l,SUCCESS,664d02a9f1c928713169866b2f5b3225b3554435,654e72b39310847b0d369796c31825e379aaf909,0.9,6,phase1_mlp_l,"['x1', 'x2', 'x3', 'x_spurious', 'z']",3843617798,5000,3000,4000,True,250,32,True,32,0.998,32,[],"[0.007727734883283182, -0.010119347946633685, -0.014035633071157813, 0.003998897134054999, -0.002402975041360533]","[0.9908252735430353, 1.0211408821234151, 1.000222686472314, 1.0049129532608072, 1.0067873681276451]",0.4938062000001082,0.971,0.446,0.9906666666666667,0.26966666666666667,"[{'rho_ood': -0.9, 'accuracy': 0.553, 'ood_gap': 0.43766666666666665}, {'rho_ood': -0.6, 'accuracy': 0.646, 'ood_gap': 0.3446666666666667}, {'rho_ood': -0.3, 'accuracy': 0.7283333333333334, 'ood_gap': 0.2623333333333333}, {'rho_ood': 0.0, 'accuracy': 0.806, 'ood_gap': 0.18466666666666665}, {'rho_ood': 0.3, 'accuracy': 0.8716666666666667, 'ood_gap': 0.119}]"
rho0p9_seed07_mlp_l,SUCCESS,664d02a9f1c928713169866b2f5b3225b3554435,654e72b39310847b0d369796c31825e379aaf909,0.9,7,phase1_mlp_l,"['x1', 'x2', 'x3', 'x_spurious', 'z']",3748602754,5000,3000,4000,True,250,23,True,23,0.99,23,[],"[0.019196105758636457, -0.008478933029727085, 0.006627843678507296, -0.00500600171812477, -0.008393812446572103]","[1.0122590593568712, 0.9918555374817947, 0.9962931550949713, 0.9907893704627885, 1.0074936430542798]",0.3477017999975942,0.93775,0.503,0.989,0.3144,"[{'rho_ood': -0.9, 'accuracy': 0.48333333333333334, 'ood_gap': 0.5056666666666667}, {'rho_ood': -0.6, 'accuracy': 0.605, 'ood_gap': 0.384}, {'rho_ood': -0.3, 'accuracy': 0.6706666666666666, 'ood_gap': 0.31833333333333336}, {'rho_ood': 0.0, 'accuracy': 0.77, 'ood_gap': 0.21899999999999997}, {'rho_ood': 0.3, 'accuracy': 0.844, 'ood_gap': 0.14500000000000002}]"
rho0p9_seed08_mlp_l,SUCCESS,664d02a9f1c928713169866b2f5b3225b3554435,654e72b39310847b0d369796c31825e379aaf909,0.9,8,phase1_mlp_l,"['x1', 'x2', 'x3', 'x_spurious', 'z']",3470733562,5000,3000,4000,True,250,26,True,26,0.998,26,[],"[0.010940908033843332, -0.0017913256772523732, 0.011274922603671257, 0.025100904867958126, -0.018873440201340783]","[1.0088396834591729, 0.983970241547682, 0.995026430594147, 0.9963502852653608, 0.9885043133592373]",0.35888379999960307,0.95425,0.617,0.9923333333333333,0.373,"[{'rho_ood': -0.9, 'accuracy': 0.39, 'ood_gap': 0.6023333333333333}, {'rho_ood': -0.6, 'accuracy': 0.5386666666666666, 'ood_gap': 0.45366666666666666}, {'rho_ood': -0.3, 'accuracy': 0.6313333333333333, 'ood_gap': 0.361}, {'rho_ood': 0.0, 'accuracy': 0.718, 'ood_gap': 0.2743333333333333}, {'rho_ood': 0.3, 'accuracy': 0.8186666666666667, 'ood_gap': 0.17366666666666664}]"
rho0p9_seed09_mlp_l,SUCCESS,664d02a9f1c928713169866b2f5b3225b3554435,654e72b39310847b0d369796c31825e379aaf909,0.9,9,phase1_mlp_l,"['x1', 'x2', 'x3', 'x_spurious', 'z']",2306204703,5000,3000,4000,True,250,23,True,23,0.998,23,[],"[0.014885955888889689, -0.00804752388245845, 0.00403035506308899, 0.026349502711079453, 0.02858654361497559]","[0.9934568670337314, 0.9935261048919592, 1.0126491969911648, 0.999267644867162, 0.9966705192593341]",0.3541352999964147,0.94775,0.7473333333333333,0.9933333333333333,0.4390666666666666,"[{'rho_ood': -0.9, 'accuracy': 0.25466666666666665, 'ood_gap': 0.7386666666666666}, {'rho_ood': -0.6, 'accuracy': 0.4786666666666667, 'ood_gap': 0.5146666666666666}, {'rho_ood': -0.3, 'accuracy': 0.5763333333333334, 'ood_gap': 0.4169999999999999}, {'rho_ood': 0.0, 'accuracy': 0.6816666666666666, 'ood_gap': 0.31166666666666665}, {'rho_ood': 0.3, 'accuracy': 0.78, 'ood_gap': 0.21333333333333326}]"
