rho_train,dataset_seed,component,content_sha256
0.9,0,train,e889c2f587a888ab0490633efe7914413784059740e4cad249b312307a894aca
0.9,0,validation,18d17d98c8a4d8f2baabdfd43e3f52e30e5239c4c0a61f7cf7c24a3165a5ae6d
0.9,0,iid_test,f09d3a0b5a38e7f7f3179baab8ea0604822447fb17ebd4577aec2e38eed4b65b
0.9,0,ood_-0.9,b4cfb6dc776b49a5f7fb5a4cc80dd7dbb587429e8f3d4a68f0e5454a64f7e706
0.9,0,ood_-0.6,3aa06cea5c9b0869903b51988fe06c49b4e1d42adcaeadc01ad5c5238dff235a
0.9,0,ood_-0.3,13830fd525f34ed3aedb783b8488246c186b9fe2a7ddce7c37ae2686ce2a1379
0.9,0,ood_0,649df1378c730c782deb3e71f73c4d3d79d5d39397110a018709f182fa299eb7
0.9,0,ood_0.3,cba6f03dfa4f6fb823054db2f4344c6c23900265e35d9fde6cd13663650f64c5
0.9,0,probe,3efc63c2e8d9a0eb20c87c1c64f3707ae85780da51a7e53479c08195bc7cbac4
0.9,1,train,ca6f4cba685a50b0e8f01b0be3cde0af43ea9fc054d4af161cb69b136ca136d4
0.9,1,validation,9388e18f892734e0b1bf62960539c916fbdcaddd1fcdc7ba42201ede7be71de7
0.9,1,iid_test,b3c32e7d8e2ba1254131763078c72e04fc1b50e8dcf4f2f9d70db3403ae04bae
0.9,1,ood_-0.9,69da74afb44eeea8fd1f60553f58fdb4dd164399baa4aac4dd052252c2d8642f
0.9,1,ood_-0.6,66b686d4cb9fd0ea3cc7d5016e82f21bf812c8eb90d2bfc99dff6d423458e3e4
0.9,1,ood_-0.3,d3ce32cd457b8e0847093b359b080256028c685015f364b7f1b5ae919ecad583
0.9,1,ood_0,cbf462a5e8307ee0c3d62a0238b507ca340eba047d8acf46b2f4d3685b9dcc05
0.9,1,ood_0.3,8eade92dc13b0bb4ac3dc575802b0a847351e79cbb1584c463b4804ed648c066
0.9,1,probe,d06eeecb8d769face6d3bc8cfdec984cb547e2378e71b2e2fb86e3543e20293d
0.9,2,train,d5041a36695f14acd420d80c8ddd60c2f4b09b64d3f1b9d764850af3bcdc0cde
0.9,2,validation,406f0965c27d7ca11404f61ea4fc0e95e8bf3546b05739681a648276fa5d8dd8
0.9,2,iid_test,42e50bd9817a0955780437bb8544d00f3931c0416a0664082f0250c822822f47
0.9,2,ood_-0.9,04bc7d6302d158674da62f1da71c84cd58303614bd00a2a4c30ec9b4043feddd
0.9,2,ood_-0.6,3641f29d70b415299abf7edb02b770724693c4de2cbd69e1be3464e790c74456
0.9,2,ood_-0.3,a4e8c8acd6ecd0879f6983d9684e086aff5b846fd0d144ef926ff5db96d2d77f
0.9,2,ood_0,edd1614c267017e65379d0ff4736790a35a78f3c893f13ced081e26e447498f1
0.9,2,ood_0.3,1caa6db761779b93137f3f0f51649d09bc38e57581367469854358cdb8245519
0.9,2,probe,936192367695cef0e17cd9ac05d3b6f9191441e5694c32ccbafef78110995870
0.9,3,train,c2dcba12b09b13b9c26f8443f2900fafefab523784affb0307d719e0e37f1e9f
0.9,3,validation,dd208fcc0c2887b28fcee7c5a45352918cd456642e1c418747e4b66c474faf9c
0.9,3,iid_test,10403f60e5cb7d5cc8900071d87e70613bb3118444e6683941018f33c42d389e
0.9,3,ood_-0.9,79bf2b9a39d521fa431a09ab99fde57de449539be04a956badfd63438fe9f467
0.9,3,ood_-0.6,22f0691377401ffb499cecb3e341db4d03d31ad448aab8accc5880c842c7d1c7
0.9,3,ood_-0.3,77500e782c2ae972e3b6621b433d6bc11d932409b0c5ca6543f786beeb57fd58
0.9,3,ood_0,0d489303bb2bc68d62003aecf5337d90a267e4e5291291462dc692c3f3981007
0.9,3,ood_0.3,1bcc2af6a8ef24a1d7eec0eb90387bfaac9620bb034c1f8446fab10b51ca78ed
0.9,3,probe,f777b93ddfbc9729e5beca4707fcc606fe1b7585fb29a68462af8690fccfa5c3
0.9,4,train,e211accde379263896a108a8b873e30e0ca7526c9ed6292cd5f3502d16e21cc8
0.9,4,validation,762733f5f0012dc48bdac3882e5b01e51d70c3590197812416b70dfb76fe8b2f
0.9,4,iid_test,0a92c5a4d79490f33ff21fcaf5e7c4948a91535977bf18f6d1fb6b91335b307d
0.9,4,ood_-0.9,a917e86449ba1df8370972f1bcdf32b77ab94cd261401c1f4fcb29becabe73bf
0.9,4,ood_-0.6,bddb5094cd8674ecc0008a7f2cc006063d799a099d5df547f0c6c5860f3f803c
0.9,4,ood_-0.3,ef3c5c302d0a828aa7af011627f57e21b33e6ca85a472aa599892cbcf4a2966c
0.9,4,ood_0,bb372a578d7a1d79532d2bb87f76c4b254a1792b2ba9a1df159da0011975b2ef
0.9,4,ood_0.3,a761df29bbb7f3640272a0572dc9c4427ba4899106f9d9b736f2c4ca95159cb5
0.9,4,probe,86197a426e7aadc4f2299b7e1859c1beebca36581815cd18d035c237714e303c
0.9,5,train,953cf9677821685213cb3549fcfbbe026b0f9ccc9bbd40a9cc8c68381048de16
0.9,5,validation,49115562ff0ea8a8083870aa86926afb31ef22eee9f2c761591348fd6c03f86c
0.9,5,iid_test,1d6dd73ff1e52084e63dbdb4238993e9d53ebd8363ebb6b833d094362da9517c
0.9,5,ood_-0.9,81a77b595c7f76b5945644b4e44944284ec3cadcafed10706470b5113ccb99bb
0.9,5,ood_-0.6,fe39d3e4785abb5d2619509e7a8601c93124a07944a4e6574db9a18509239fca
0.9,5,ood_-0.3,6e0caac022fc42e3615334750018c2198a2764e38e7423a84a929296db0def0f
0.9,5,ood_0,c0ccc840fa3025f306cdaadb7caccf4fdf89458a5b4696bd048b4082435c4575
