rho_train,seed,config_id,config_hash,family,capacity_tier,capacity_tier_score,regularization_tier,regularization_flexibility_score,fit_seconds,warning_count,capacity_proxy_name,learned_capacity_primary,structural_parameter_count,effective_degrees_of_freedom,kernel_effective_rank,support_vector_fraction,tree_total_leaves,tree_mean_depth,boosting_total_leaves,boosting_iterations,mlp_parameter_count,optimization_iterations,converged,fitted_kernel_gamma,empirical_capacity_index
0.0,0,LR-L,1d2a1642b5cc9ffeec4e67e117c0a2ab4fd6a563b127af2c2fb9c9262e90d737,logistic_regression,low,0.0,strong,0.0,0.02663169999141246,0,effective_degrees_of_freedom,4.056621783073416,6.0,4.056621783073416,,,,,,,,6.0,1.0,,0.16666666666666666
0.0,0,LR-M,2f0277ba6749dc50e77a697ebcae33e3932a27b63e857544fc1ec7f72f723bce,logistic_regression,medium,0.5,medium,0.5,0.0069626999902538955,0,effective_degrees_of_freedom,4.858249845964087,6.0,4.858249845964087,,,,,,,,10.0,1.0,,0.5
0.0,0,LR-H,7b1c2ec5fbbfbbdee64cc420019e5c8a9abaac2c5fc3f68515c1e2c1fa714d43,logistic_regression,high,1.0,weak,1.0,0.006436900002881885,0,effective_degrees_of_freedom,4.9932633800416175,6.0,4.9932633800416175,,,,,,,,11.0,1.0,,0.8333333333333334
0.0,0,SVM-L,3fbd371b0e2cef95735dd4da149551608834096e78275a14901c17ac75cb096e,rbf_svm,low,0.0,medium,0.5,0.07625260000349954,0,kernel_effective_rank,2.3043803877419022,2610.0,,2.3043803877419022,0.29,,,,,,,1.0,0.05,0.3333333333333333
0.0,0,SVM-M,9db1d2bf313ca7ba2163130db40ea44518e99de2cc5a6c1b05d6c5c600e866d4,rbf_svm,medium,0.5,weak,1.0,0.07941130001563579,0,kernel_effective_rank,10.690125203397045,2142.0,,10.690125203397045,0.238,,,,,,,1.0,0.2,0.6666666666666666
0.0,0,SVM-H,405d3f89ec540b5d9527e4410c3337cad0e3f8b2cd09be2fa431cfc7a19bc06a,rbf_svm,high,1.0,strong,0.0,0.14239779999479651,0,kernel_effective_rank,165.87360102269346,5796.0,,165.87360102269346,0.644,,,,,,,1.0,1.0,1.0
0.0,0,RF-L,c0f016366401e1557f071472bcb386b5eb2aff8542b2c2766d492e6f207fd133,random_forest,low,0.0,weak,1.0,0.30757329997140914,0,tree_total_leaves,3104.0,6008.0,,,,3104.0,4.0,,,,,1.0,,0.3333333333333333
0.0,0,RF-M,5a017704fedc5eeaa5bfa51b469c2790db92ae9033f8403d454222bd9ca5b60a,random_forest,medium,0.5,strong,0.0,0.34244749997742474,0,tree_total_leaves,12136.0,24022.0,,,,12136.0,8.836,,,,,1.0,,0.5
0.0,0,RF-H,7ff7f8153ba561892eb3cfceb961e6a4c2bf8946870c60775c3bfce39fbaf2f9,random_forest,high,1.0,medium,0.5,0.42934169998625293,0,tree_total_leaves,33855.0,67410.0,,,,33855.0,12.38,,,,,1.0,,0.8333333333333334
0.0,0,HGB-L,67769b8c901577287f7c69e46ea16a110fbcab250556e6c9ee68848fdafe1020,gradient_boosting,low,0.0,strong,0.0,0.8241679000202566,1,boosting_total_leaves,700.0,1300.0,,,,,,700.0,100.0,,100.0,1.0,,0.25
