family,config_id,capacity_tier_score,learned_capacity_mean,learned_capacity_min,learned_capacity_max,fit_seconds_mean,warning_count,tier_order_matches_proxy
logistic_regression,LR-L,0.0,3.699115608541179,3.330502133812825,4.0656816731736445,0.013044224993791431,0,True
logistic_regression,LR-M,0.5,4.618484519403279,4.351671842161567,4.879580534984712,0.008006624993868172,0,True
logistic_regression,LR-H,1.0,4.91728687933225,4.806403482468762,4.994797054151012,0.008258949994342402,0,True
rbf_svm,SVM-L,0.0,2.2941167057025806,2.2821076117556913,2.3043803877419022,0.06549672500113957,0,True
rbf_svm,SVM-M,0.5,10.173679711995183,9.612667323291213,10.690125203397045,0.06936647499969695,0,True
rbf_svm,SVM-H,1.0,143.19189779462047,120.5393774397256,165.87360102269346,0.16109434999816585,0,True
random_forest,RF-L,0.0,2811.0,2520.0,3104.0,0.3602475749794394,0,True
random_forest,RF-M,0.5,8019.75,3654.0,12366.0,0.4262454499839805,0,True
random_forest,RF-H,1.0,20489.25,6367.0,34650.0,0.50727570001618,0,True
gradient_boosting,HGB-L,0.0,679.5,657.0,700.0,0.32615994999650866,1,True
gradient_boosting,HGB-M,0.5,4276.75,2215.0,6200.0,0.7332085499947425,0,True
gradient_boosting,HGB-H,1.0,8278.25,3232.0,13200.0,1.4281574999913573,0,True
mlp,MLP-L,0.0,113.0,113.0,113.0,0.21623074998205993,0,True
mlp,MLP-M,0.5,4609.0,4609.0,4609.0,0.13911407500563655,0,True
mlp,MLP-H,1.0,25601.0,25601.0,25601.0,0.30852602499362547,0,True
