geometry,stable_coefficients,rho_train,seed,config_id,config_hash,family,capacity_tier,capacity_tier_score,boundary_fidelity,fit_seconds,warning_count,warning_messages
baseline,"[1.2, -1.0, 0.8]",0.0,0,LR-L,1d2a1642b5cc9ffeec4e67e117c0a2ab4fd6a563b127af2c2fb9c9262e90d737,logistic_regression,low,0.0,0.9816666666666667,0.01172410004073754,0,
baseline,"[1.2, -1.0, 0.8]",0.0,0,LR-M,2f0277ba6749dc50e77a697ebcae33e3932a27b63e857544fc1ec7f72f723bce,logistic_regression,medium,0.5,0.9958333333333333,0.012874399952124804,0,
baseline,"[1.2, -1.0, 0.8]",0.0,0,LR-H,7b1c2ec5fbbfbbdee64cc420019e5c8a9abaac2c5fc3f68515c1e2c1fa714d43,logistic_regression,high,1.0,0.995,0.014634199964348227,0,
baseline,"[1.2, -1.0, 0.8]",0.0,0,SVM-L,3fbd371b0e2cef95735dd4da149551608834096e78275a14901c17ac75cb096e,rbf_svm,low,0.0,0.9791666666666666,0.094613199995365,0,
baseline,"[1.2, -1.0, 0.8]",0.0,0,SVM-M,9db1d2bf313ca7ba2163130db40ea44518e99de2cc5a6c1b05d6c5c600e866d4,rbf_svm,medium,0.5,0.9875,0.07084830000530928,0,
baseline,"[1.2, -1.0, 0.8]",0.0,0,SVM-H,405d3f89ec540b5d9527e4410c3337cad0e3f8b2cd09be2fa431cfc7a19bc06a,rbf_svm,high,1.0,0.9475,0.18408869998529553,0,
baseline,"[1.2, -1.0, 0.8]",0.0,0,RF-L,c0f016366401e1557f071472bcb386b5eb2aff8542b2c2766d492e6f207fd133,random_forest,low,0.0,0.9216666666666666,0.6597529999562539,0,
baseline,"[1.2, -1.0, 0.8]",0.0,0,RF-M,5a017704fedc5eeaa5bfa51b469c2790db92ae9033f8403d454222bd9ca5b60a,random_forest,medium,0.5,0.9225,0.8099231999949552,0,
baseline,"[1.2, -1.0, 0.8]",0.0,0,RF-H,7ff7f8153ba561892eb3cfceb961e6a4c2bf8946870c60775c3bfce39fbaf2f9,random_forest,high,1.0,0.9383333333333334,0.8789546000189148,0,
baseline,"[1.2, -1.0, 0.8]",0.0,0,HGB-L,67769b8c901577287f7c69e46ea16a110fbcab250556e6c9ee68848fdafe1020,gradient_boosting,low,0.0,0.9566666666666667,0.19101960002444685,0,
baseline,"[1.2, -1.0, 0.8]",0.0,0,HGB-M,2d985fd608b45e3358b349990cabdc1f6ba1762a96e3f4ecf6a7596687075e1f,gradient_boosting,medium,0.5,0.9491666666666667,0.7896910000126809,0,
