family,rho_train,mean,sem,count
gradient_boosting,0.0,-0.009903734236472594,0.0026403496087605413,30
gradient_boosting,0.5,-0.01504776567066156,0.002129082708258664,30
gradient_boosting,0.7,-0.012825421484585953,0.0026109237750821896,30
gradient_boosting,0.9,0.060709814118666695,0.0023289767165904063,30
logistic_regression,0.0,0.016639147621402544,0.002852664393029724,30
logistic_regression,0.5,0.00701490287916707,0.0018387440580900723,30
logistic_regression,0.7,-0.015211062858613867,0.002871403484571662,30
logistic_regression,0.9,-0.03462988932874038,0.0023803794991282302,30
mlp,0.0,0.00940208406883782,0.003087664795346443,30
mlp,0.5,0.010569789904425291,0.0030388501075607347,30
mlp,0.7,-0.0036481204651395067,0.006283035751675307,30
mlp,0.9,-0.08956867825900357,0.007450248380018681,30
random_forest,0.0,-0.02163244142090604,0.004776968875155585,30
random_forest,0.5,-0.011944943696684451,0.002843174220030546,30
random_forest,0.7,0.0407192143083165,0.005143907658519667,30
random_forest,0.9,0.10351652128356917,0.0025009126417521663,30
rbf_svm,0.0,0.005494943967124331,0.002480133551208581,30
rbf_svm,0.5,0.009408016583735669,0.0018757713241961595,30
rbf_svm,0.7,-0.009034609499993771,0.0030542875667562155,30
rbf_svm,0.9,-0.04002776781450244,0.002248544783589042,30
