rho_train,capacity_tier,family_a,family_b,eligible,matched,coverage,mean_gap_difference_a_minus_b,ci_lower,ci_upper,mean_match_distance,adequate_coverage
0.0,low,logistic_regression,rbf_svm,10,4,0.4,-0.0003333333333333246,-0.0022083333333333243,0.0009166666666667006,0.513430817925816,False
0.0,low,logistic_regression,random_forest,10,0,0.0,,,,,False
0.0,low,logistic_regression,gradient_boosting,10,1,0.1,-0.010666666666666701,-0.010666666666666701,-0.010666666666666701,0.24466601339969224,False
0.0,low,logistic_regression,mlp,10,0,0.0,,,,,False
0.0,low,rbf_svm,random_forest,10,0,0.0,,,,,False
0.0,low,rbf_svm,gradient_boosting,10,1,0.1,-0.0115833333333334,-0.0115833333333334,-0.0115833333333334,0.5568260234990839,False
0.0,low,rbf_svm,mlp,10,2,0.2,0.0007083333333333002,-8.333333333319926e-05,0.0014999999999997997,0.5560997460013609,False
0.0,low,random_forest,gradient_boosting,10,0,0.0,,,,,False
0.0,low,random_forest,mlp,10,0,0.0,,,,,False
0.0,low,gradient_boosting,mlp,10,0,0.0,,,,,False
0.0,medium,logistic_regression,rbf_svm,10,0,0.0,,,,,False
0.0,medium,logistic_regression,random_forest,10,1,0.1,-0.012083333333333099,-0.012083333333333099,-0.012083333333333099,0.5018533846242692,False
0.0,medium,logistic_regression,gradient_boosting,10,2,0.2,-0.0163749999999999,-0.0181666666666665,-0.014583333333333299,0.5621714219480075,False
0.0,medium,logistic_regression,mlp,10,2,0.2,-0.0019583333333334004,-0.007249999999999901,0.0033333333333331002,0.2431967318479849,False
0.0,medium,rbf_svm,random_forest,10,0,0.0,,,,,False
0.0,medium,rbf_svm,gradient_boosting,10,1,0.1,-0.0026666666666666002,-0.0026666666666666002,-0.0026666666666666002,0.24600398128249348,False
0.0,medium,rbf_svm,mlp,10,1,0.1,0.0062499999999999,0.0062499999999999,0.0062499999999999,0.5573481105241993,False
0.0,medium,random_forest,gradient_boosting,10,0,0.0,,,,,False
0.0,medium,random_forest,mlp,10,1,0.1,0.012749999999999899,0.012749999999999899,0.012749999999999899,0.5545951294194332,False
0.0,medium,gradient_boosting,mlp,10,4,0.4,0.015249999999999847,0.013916666666666546,0.017041666666666448,0.5130956459467533,False
0.0,high,logistic_regression,rbf_svm,10,0,0.0,,,,,False
0.0,high,logistic_regression,random_forest,10,2,0.2,-0.00395833333333335,-0.006083333333333401,-0.0018333333333333001,0.5076118929232105,False
0.0,high,logistic_regression,gradient_boosting,10,2,0.2,-0.00645833333333335,-0.0078333333333333,-0.0050833333333334,0.5777393651834777,False
0.0,high,logistic_regression,mlp,10,0,0.0,,,,,False
0.0,high,rbf_svm,random_forest,10,0,0.0,,,,,False
0.0,high,rbf_svm,gradient_boosting,10,2,0.2,-0.0045000000000000005,-0.0046666666666667,-0.0043333333333333,0.5744048900354247,False
0.0,high,rbf_svm,mlp,10,0,0.0,,,,,False
0.0,high,random_forest,gradient_boosting,10,2,0.2,-0.0035416666666668,-0.0038333333333335,-0.0032500000000001,0.2591886372237875,False
0.0,high,random_forest,mlp,10,1,0.1,0.00016666666666669992,0.00016666666666669992,0.00016666666666669992,0.5617159054714043,False
0.0,high,gradient_boosting,mlp,10,6,0.6,0.011916666666666617,0.008138888888888932,0.014805555555555398,0.5148574510714647,True
0.5,low,logistic_regression,rbf_svm,10,1,0.1,0.015133333333333304,0.015133333333333304,0.015133333333333304,0.5547563978021878,False
0.5,low,logistic_regression,random_forest,10,0,0.0,,,,,False
