rho_train,family_a,family_b,probability_a_beats_b_iid,probability_a_beats_b_ood,n_seeds
0.0,logistic_regression,rbf_svm,1.0,1.0,10
0.0,logistic_regression,random_forest,1.0,1.0,10
0.0,logistic_regression,gradient_boosting,1.0,1.0,10
0.0,logistic_regression,mlp,0.9,1.0,10
0.0,rbf_svm,random_forest,1.0,1.0,10
0.0,rbf_svm,gradient_boosting,1.0,1.0,10
0.0,rbf_svm,mlp,0.3,0.1,10
0.0,random_forest,gradient_boosting,0.0,0.0,10
0.0,random_forest,mlp,0.0,0.0,10
0.0,gradient_boosting,mlp,0.0,0.0,10
0.5,logistic_regression,rbf_svm,1.0,1.0,10
0.5,logistic_regression,random_forest,1.0,1.0,10
0.5,logistic_regression,gradient_boosting,1.0,1.0,10
0.5,logistic_regression,mlp,0.8,0.9,10
0.5,rbf_svm,random_forest,1.0,1.0,10
0.5,rbf_svm,gradient_boosting,1.0,0.2,10
0.5,rbf_svm,mlp,0.3,0.3,10
0.5,random_forest,gradient_boosting,0.0,0.0,10
0.5,random_forest,mlp,0.0,0.0,10
0.5,gradient_boosting,mlp,0.0,0.4,10
0.7,logistic_regression,rbf_svm,0.8,1.0,10
0.7,logistic_regression,random_forest,1.0,1.0,10
0.7,logistic_regression,gradient_boosting,1.0,1.0,10
0.7,logistic_regression,mlp,0.9,0.9,10
0.7,rbf_svm,random_forest,1.0,1.0,10
0.7,rbf_svm,gradient_boosting,1.0,1.0,10
0.7,rbf_svm,mlp,0.7,0.6,10
0.7,random_forest,gradient_boosting,0.0,0.0,10
0.7,random_forest,mlp,0.0,0.0,10
0.7,gradient_boosting,mlp,0.0,0.4,10
0.9,logistic_regression,rbf_svm,0.8,0.3,10
0.9,logistic_regression,random_forest,1.0,1.0,10
0.9,logistic_regression,gradient_boosting,1.0,1.0,10
0.9,logistic_regression,mlp,1.0,0.0,10
0.9,rbf_svm,random_forest,1.0,1.0,10
0.9,rbf_svm,gradient_boosting,1.0,1.0,10
0.9,rbf_svm,mlp,0.7,0.0,10
0.9,random_forest,gradient_boosting,0.0,0.0,10
0.9,random_forest,mlp,0.0,0.0,10
0.9,gradient_boosting,mlp,0.1,0.0,10
