seed,model,sse,n
0,M0,0.12383868743141291,60
1,M0,0.14783883774417025,60
2,M0,0.13499800042729743,60
3,M0,0.13351809712048482,60
4,M0,0.1460262312430269,60
5,M0,0.14143849480178336,60
6,M0,0.15822244240534988,60
7,M0,0.1261934754693646,60
8,M0,0.12389036007841818,60
9,M0,0.1244604647053041,60
0,M1,0.10201273189748483,60
1,M1,0.12915849860669332,60
2,M1,0.12279313137511724,60
3,M1,0.1327608338794387,60
4,M1,0.12053782233651525,60
5,M1,0.11559792197372529,60
6,M1,0.13014790646138213,60
7,M1,0.10965246532299794,60
8,M1,0.10378355491327104,60
9,M1,0.11080258901708473,60
0,M2,0.068759256129544,60
1,M2,0.09616930760522449,60
2,M2,0.09364702176062042,60
3,M2,0.0870749716171029,60
4,M2,0.08423159947528439,60
5,M2,0.07783733798461952,60
6,M2,0.09718900653525842,60
7,M2,0.07912302077367063,60
8,M2,0.07917855671225649,60
9,M2,0.0822010719628307,60
0,M3,0.020755695837359586,60
1,M3,0.028329782088315554,60
2,M3,0.04248858019829514,60
3,M3,0.038608012247483524,60
4,M3,0.02628044796335514,60
5,M3,0.01900170487111851,60
6,M3,0.024458942366343384,60
7,M3,0.0179244863836556,60
8,M3,0.018103657194101563,60
9,M3,0.017543229494982774,60
