family,rho_train,n,ood_gap_min,ood_gap_q10,ood_gap_median,ood_gap_mean,ood_gap_q90,ood_gap_max,average_ood_accuracy_min,average_ood_accuracy_q10,average_ood_accuracy_median,average_ood_accuracy_mean,average_ood_accuracy_q90,average_ood_accuracy_max
logistic_regression,0.0,30,-0.0108333333333333,-0.003199999999999868,0.00229166666666665,0.0031194444444444303,0.010558333333333345,0.0148333333333333,0.9048333333333332,0.9083666666666667,0.9106666666666666,0.9109916666666668,0.9143833333333333,0.91725
rbf_svm,0.0,30,-0.0088333333333332,-0.00425833333333333,0.00108333333333325,0.003299999999999953,0.012824999999999991,0.0158333333333332,0.8998333333333334,0.9024833333333333,0.9065833333333334,0.9065555555555558,0.910825,0.9150833333333334
random_forest,0.0,30,-0.00975,-0.003866666666666659,0.0015,0.0028138888888888935,0.01141666666666661,0.0130000000000001,0.8815833333333333,0.8838083333333333,0.9013333333333333,0.8970305555555556,0.9057583333333333,0.9068333333333332
gradient_boosting,0.0,30,-0.0076666666666665,-0.0050083333333331495,0.00229166666666665,0.0033361111111111026,0.012891666666666541,0.0155833333333333,0.8938333333333334,0.895425,0.9014166666666668,0.9007194444444443,0.905425,0.9065833333333332
mlp,0.0,30,-0.0151666666666666,-0.005074999999999849,0.0026249999999999997,0.0025944444444444665,0.01392499999999988,0.0180000000000001,0.895,0.9043833333333333,0.9091666666666667,0.9089944444444443,0.9149083333333332,0.9173333333333332
logistic_regression,0.5,30,0.0579999999999999,0.06145333333333328,0.0761666666666666,0.07644888888888887,0.09369333333333331,0.1026666666666666,0.8326666666666667,0.8357733333333334,0.8603000000000001,0.8561177777777778,0.8697733333333333,0.8716666666666667
rbf_svm,0.5,30,0.0665999999999999,0.07013999999999986,0.0827666666666666,0.08590888888888883,0.09935333333333331,0.1173333333333332,0.8160000000000001,0.8260866666666666,0.8467,0.8440022222222222,0.8601000000000001,0.8634666666666666
random_forest,0.5,30,0.0739333333333333,0.0806866666666666,0.0933666666666666,0.10311333333333329,0.13378,0.1627333333333332,0.7379333333333333,0.7658266666666667,0.8270333333333333,0.8123088888888887,0.8430733333333335,0.8517333333333333
gradient_boosting,0.5,30,0.0635999999999999,0.0653933333333333,0.07676666666666654,0.0771244444444444,0.08687999999999996,0.0956666666666666,0.8380666666666666,0.8396333333333333,0.8475666666666666,0.8468977777777777,0.8530133333333333,0.8554666666666668
mlp,0.5,30,0.0580666666666666,0.06367999999999994,0.07859999999999985,0.08505999999999996,0.11775999999999999,0.155,0.7683333333333333,0.8107733333333333,0.8538666666666666,0.8456066666666666,0.8679866666666667,0.8707333333333335
logistic_regression,0.7,30,0.1510666666666665,0.15631999999999988,0.16673333333333318,0.17898888888888884,0.21202666666666659,0.2267333333333333,0.7299333333333333,0.7412200000000001,0.7872000000000001,0.776488888888889,0.7993600000000001,0.8030000000000002
rbf_svm,0.7,30,0.1582,0.16753333333333323,0.18313333333333337,0.18918666666666664,0.2115599999999999,0.2273333333333332,0.7236666666666667,0.74138,0.7712666666666668,0.76478,0.7876266666666667,0.7954666666666667
random_forest,0.7,30,0.2098666666666666,0.22417999999999996,0.26206666666666667,0.28329333333333323,0.3612666666666667,0.3838666666666667,0.5401333333333334,0.5581933333333334,0.6798,0.6540066666666667,0.72376,0.7391333333333333
gradient_boosting,0.7,30,0.1793333333333333,0.18110666666666672,0.19993333333333335,0.20239777777777773,0.22228666666666663,0.2362666666666666,0.7134,0.7270800000000001,0.7507999999999999,0.7451800000000001,0.76538,0.7674
mlp,0.7,30,0.1453333333333333,0.1615399999999999,0.1877333333333332,0.19699777777777772,0.2553000000000001,0.2771333333333333,0.6696666666666666,0.6959066666666666,0.7655333333333334,0.7560577777777778,0.7928066666666667,0.806
logistic_regression,0.9,30,0.4216666666666666,0.4291933333333332,0.4453333333333333,0.44373111111111113,0.4592399999999999,0.4653999999999999,0.5296000000000001,0.5335400000000001,0.5492666666666668,0.5501911111111112,0.56476,0.5736666666666667
rbf_svm,0.9,30,0.4181333333333332,0.42681333333333327,0.4371666666666667,0.4400777777777778,0.45625999999999994,0.4650666666666666,0.5292666666666667,0.53378,0.5553999999999999,0.5531888888888888,0.5664866666666667,0.5762
random_forest,0.9,30,0.5771333333333334,0.5803866666666667,0.5996,0.5961,0.6078533333333335,0.6146666666666667,0.376,0.3798533333333333,0.3879333333333333,0.39247777777777776,0.41059999999999997,0.4145333333333333
gradient_boosting,0.9,30,0.5316666666666666,0.5353533333333335,0.5458999999999999,0.5468177777777776,0.5606199999999999,0.565,0.4246,0.42829999999999996,0.4466333333333333,0.4441933333333334,0.4565133333333334,0.4603333333333333
mlp,0.9,30,0.3109333333333333,0.3407199999999999,0.39816666666666667,0.39260666666666655,0.4387866666666666,0.4501999999999999,0.5408000000000001,0.5564333333333334,0.5953,0.5998822222222222,0.6436266666666667,0.6800666666666667
