geometry,stable_coefficients,rho_train,seed,config_id,config_hash,family,capacity_tier,capacity_tier_score,boundary_fidelity,fit_seconds,warning_count,warning_messages
baseline,"[1.2, -1.0, 0.8]",0.0,0,LR-L,1d2a1642b5cc9ffeec4e67e117c0a2ab4fd6a563b127af2c2fb9c9262e90d737,logistic_regression,low,0.0,0.9975,0.04013669997220859,0,
baseline,"[1.2, -1.0, 0.8]",0.0,0,LR-M,2f0277ba6749dc50e77a697ebcae33e3932a27b63e857544fc1ec7f72f723bce,logistic_regression,medium,0.5,0.99825,0.011319100041873753,0,
baseline,"[1.2, -1.0, 0.8]",0.0,0,LR-H,7b1c2ec5fbbfbbdee64cc420019e5c8a9abaac2c5fc3f68515c1e2c1fa714d43,logistic_regression,high,1.0,0.99875,0.013184899988118559,0,
baseline,"[1.2, -1.0, 0.8]",0.0,0,SVM-L,3fbd371b0e2cef95735dd4da149551608834096e78275a14901c17ac75cb096e,rbf_svm,low,0.0,0.9935,0.49919179995777085,0,
baseline,"[1.2, -1.0, 0.8]",0.0,0,SVM-M,9db1d2bf313ca7ba2163130db40ea44518e99de2cc5a6c1b05d6c5c600e866d4,rbf_svm,medium,0.5,0.9925,0.3826083000167273,0,
baseline,"[1.2, -1.0, 0.8]",0.0,0,SVM-H,405d3f89ec540b5d9527e4410c3337cad0e3f8b2cd09be2fa431cfc7a19bc06a,rbf_svm,high,1.0,0.976,1.1847279000212438,0,
baseline,"[1.2, -1.0, 0.8]",0.0,0,RF-L,c0f016366401e1557f071472bcb386b5eb2aff8542b2c2766d492e6f207fd133,random_forest,low,0.0,0.939,0.712498200009577,0,
baseline,"[1.2, -1.0, 0.8]",0.0,0,RF-M,5a017704fedc5eeaa5bfa51b469c2790db92ae9033f8403d454222bd9ca5b60a,random_forest,medium,0.5,0.9615,0.8714365999912843,0,
baseline,"[1.2, -1.0, 0.8]",0.0,0,RF-H,7ff7f8153ba561892eb3cfceb961e6a4c2bf8946870c60775c3bfce39fbaf2f9,random_forest,high,1.0,0.97,0.918753599980846,0,
baseline,"[1.2, -1.0, 0.8]",0.0,0,HGB-L,67769b8c901577287f7c69e46ea16a110fbcab250556e6c9ee68848fdafe1020,gradient_boosting,low,0.0,0.9715,1.2957570000435226,1,"Could not find the number of physical cores for the following reason:
[WinError 2] 系统找不到指定的文件。
Returning the number of logical cores instead. You can silence this warning by setting LOKY_MAX_CPU_COUNT to the number of cores you want to use."
baseline,"[1.2, -1.0, 0.8]",0.0,0,HGB-M,2d985fd608b45e3358b349990cabdc1f6ba1762a96e3f4ecf6a7596687075e1f,gradient_boosting,medium,0.5,0.9715,1.9388908999972045,0,
baseline,"[1.2, -1.0, 0.8]",0.0,0,HGB-H,e48f60055c364417c78405d739a17860d6e752f2fc096ea1f14f2b30f76dde1e,gradient_boosting,high,1.0,0.9735,3.2614119999925606,0,
baseline,"[1.2, -1.0, 0.8]",0.0,0,MLP-L,cf054be6f8198498238d75783b4261fc719b2300545c3ec57821015192487ce8,mlp,low,0.0,0.99125,0.42716269998345524,0,
baseline,"[1.2, -1.0, 0.8]",0.0,0,MLP-M,22caf9c6783beb7ef5313eeda008a6c74091af4d4ec3b2f9a80c796f31fc80c5,mlp,medium,0.5,0.997,0.4099424999440089,0,
baseline,"[1.2, -1.0, 0.8]",0.0,0,MLP-H,5d197816eeb622fc60ae6d2ceb820addf08e9a7cafa95fd016fcc47c1733d867,mlp,high,1.0,0.99475,1.1934766999911517,0,
