fit_id,rho_train,dataset_seed,width,schedule,checkpoint,d3,fidelity,iid_accuracy,learning_rate,train_loss
rho0_seed00_width512_constant,0.0,0,512,constant,20,0.016666666666666666,0.96425,0.9173333333333333,0.01,0.19817077166988248
rho0_seed00_width512_constant,0.0,0,512,constant,40,0.014666666666666666,0.96475,0.9193333333333333,0.01,0.18818742704610042
rho0_seed00_width512_constant,0.0,0,512,constant,60,0.021666666666666667,0.966,0.917,0.01,0.1872542770051243
rho0_seed00_width512_constant,0.0,0,512,constant,80,0.017333333333333333,0.94575,0.9143333333333333,0.01,0.19017430255683113
rho0_seed00_width512_constant,0.0,0,512,constant,100,0.023333333333333334,0.97275,0.9093333333333333,0.01,0.18918559383424727
rho0_seed00_width512_constant,0.0,0,512,constant,120,0.029666666666666668,0.9545,0.9133333333333333,0.01,0.18192437438450507
rho0_seed00_width512_constant,0.0,0,512,constant,140,0.027,0.961,0.9173333333333333,0.01,0.17450552091789218
rho0_seed00_width512_constant,0.0,0,512,constant,160,0.03766666666666667,0.97425,0.9083333333333333,0.01,0.17988547672809962
rho0_seed00_width512_constant,0.0,0,512,constant,180,0.03233333333333333,0.9585,0.9103333333333333,0.01,0.17312017756246847
rho0_seed00_width512_constant,0.0,0,512,constant,200,0.03766666666666667,0.9545,0.9163333333333333,0.01,0.1669650010887611
rho0_seed00_width512_cosine,0.0,0,512,cosine,20,0.017,0.96525,0.9173333333333333,0.009799079281818376,0.19754723194411794
rho0_seed00_width512_cosine,0.0,0,512,cosine,40,0.011666666666666667,0.96225,0.9183333333333333,0.009173690746364798,0.18859874701500626
rho0_seed00_width512_cosine,0.0,0,512,cosine,60,0.022333333333333334,0.96675,0.9156666666666666,0.008185102697299853,0.18754855531861858
rho0_seed00_width512_cosine,0.0,0,512,cosine,80,0.024,0.9545,0.915,0.006931051913076572,0.1859267274264302
rho0_seed00_width512_cosine,0.0,0,512,cosine,100,0.02,0.96975,0.9153333333333333,0.005535520151093711,0.18354977962587643
rho0_seed00_width512_cosine,0.0,0,512,cosine,120,0.023333333333333334,0.956,0.9173333333333333,0.004136476688619072,0.18153439121639076
rho0_seed00_width512_cosine,0.0,0,512,cosine,140,0.02266666666666667,0.96525,0.9156666666666666,0.0028722379872641217,0.17631472989501665
rho0_seed00_width512_cosine,0.0,0,512,cosine,160,0.023666666666666666,0.96075,0.9163333333333333,0.0018677930330710667,0.1749381754489358
rho0_seed00_width512_cosine,0.0,0,512,cosine,180,0.024666666666666667,0.96225,0.916,0.0012224462977549774,0.1742062805646676
rho0_seed00_width512_cosine,0.0,0,512,cosine,200,0.024666666666666667,0.961,0.917,0.001,0.17383270860178832
rho0_seed00_width64_constant,0.0,0,64,constant,20,0.013,0.97675,0.915,0.01,0.1956288055442016
rho0_seed00_width64_constant,0.0,0,64,constant,40,0.012333333333333333,0.97625,0.9146666666666666,0.01,0.19339807750172164
rho0_seed00_width64_constant,0.0,0,64,constant,60,0.013,0.97325,0.9183333333333333,0.01,0.1908684691085941
rho0_seed00_width64_constant,0.0,0,64,constant,80,0.013666666666666667,0.972,0.9186666666666666,0.01,0.18957284410071054
rho0_seed00_width64_constant,0.0,0,64,constant,100,0.012666666666666666,0.97375,0.917,0.01,0.18894885246961896
rho0_seed00_width64_constant,0.0,0,64,constant,120,0.013666666666666667,0.96725,0.921,0.01,0.18744965715270934
rho0_seed00_width64_constant,0.0,0,64,constant,140,0.015666666666666666,0.96575,0.9193333333333333,0.01,0.1864264615330295
rho0_seed00_width64_constant,0.0,0,64,constant,160,0.016666666666666666,0.96275,0.92,0.01,0.18505780681146416
rho0_seed00_width64_constant,0.0,0,64,constant,180,0.017666666666666667,0.964,0.918,0.01,0.18489061362307474
rho0_seed00_width64_constant,0.0,0,64,constant,200,0.020666666666666667,0.9615,0.92,0.01,0.18394298590666852
rho0_seed00_width64_cosine,0.0,0,64,cosine,20,0.013333333333333334,0.97675,0.915,0.009799079281818376,0.195656698322985
rho0_seed00_width64_cosine,0.0,0,64,cosine,40,0.011333333333333334,0.976,0.9153333333333333,0.009173690746364798,0.1933292052522058
rho0_seed00_width64_cosine,0.0,0,64,cosine,60,0.012666666666666666,0.97325,0.9186666666666666,0.008185102697299853,0.19098627859770625
rho0_seed00_width64_cosine,0.0,0,64,cosine,80,0.013333333333333334,0.97275,0.9183333333333333,0.006931051913076572,0.18998049854678542
rho0_seed00_width64_cosine,0.0,0,64,cosine,100,0.015,0.97275,0.9183333333333333,0.005535520151093711,0.18906802782673116
rho0_seed00_width64_cosine,0.0,0,64,cosine,120,0.014,0.97075,0.9183333333333333,0.004136476688619072,0.18835917658206128
rho0_seed00_width64_cosine,0.0,0,64,cosine,140,0.015333333333333332,0.9695,0.9193333333333333,0.0028722379872641217,0.18784484454135522
rho0_seed00_width64_cosine,0.0,0,64,cosine,160,0.014666666666666666,0.9715,0.919,0.0018677930330710667,0.1875840054287359
rho0_seed00_width64_cosine,0.0,0,64,cosine,180,0.013333333333333334,0.96775,0.921,0.0012224462977549774,0.18737525389931167
rho0_seed00_width64_cosine,0.0,0,64,cosine,200,0.014333333333333333,0.9685,0.9206666666666666,0.001,0.18723466812035536
rho0_seed00_width8_constant,0.0,0,8,constant,20,0.006666666666666667,0.99,0.9203333333333333,0.01,0.19801673005720724
rho0_seed00_width8_constant,0.0,0,8,constant,40,0.007333333333333333,0.98475,0.9183333333333333,0.01,0.19708242127994374
rho0_seed00_width8_constant,0.0,0,8,constant,60,0.009,0.9795,0.9176666666666666,0.01,0.19651623463243145
rho0_seed00_width8_constant,0.0,0,8,constant,80,0.007333333333333333,0.9785,0.918,0.01,0.19639678716915737
rho0_seed00_width8_constant,0.0,0,8,constant,100,0.009,0.9785,0.9166666666666666,0.01,0.19605449216545495
rho0_seed00_width8_constant,0.0,0,8,constant,120,0.010333333333333333,0.97775,0.9176666666666666,0.01,0.1961091156010739
rho0_seed00_width8_constant,0.0,0,8,constant,140,0.009666666666666667,0.97875,0.917,0.01,0.1960868539827437
rho0_seed00_width8_constant,0.0,0,8,constant,160,0.009666666666666667,0.9765,0.9163333333333333,0.01,0.19582254046495504
rho0_seed00_width8_constant,0.0,0,8,constant,180,0.011,0.974,0.9163333333333333,0.01,0.19590288740563133
rho0_seed00_width8_constant,0.0,0,8,constant,200,0.01,0.974,0.9173333333333333,0.01,0.19577221233006573
rho0_seed00_width8_cosine,0.0,0,8,cosine,20,0.006666666666666667,0.99,0.9203333333333333,0.009799079281818376,0.19801979238012174
rho0_seed00_width8_cosine,0.0,0,8,cosine,40,0.006333333333333333,0.98525,0.9183333333333333,0.009173690746364798,0.19707110913390916
rho0_seed00_width8_cosine,0.0,0,8,cosine,60,0.009,0.97975,0.9183333333333333,0.008185102697299853,0.1965699981966917
rho0_seed00_width8_cosine,0.0,0,8,cosine,80,0.007666666666666666,0.979,0.9166666666666666,0.006931051913076572,0.19637623362691262
rho0_seed00_width8_cosine,0.0,0,8,cosine,100,0.009,0.977,0.9173333333333333,0.005535520151093711,0.19618313570395265
rho0_seed00_width8_cosine,0.0,0,8,cosine,120,0.011,0.97825,0.9163333333333333,0.004136476688619072,0.19612107997609315
rho0_seed00_width8_cosine,0.0,0,8,cosine,140,0.01,0.97825,0.916,0.0028722379872641217,0.19602444316614326
rho0_seed00_width8_cosine,0.0,0,8,cosine,160,0.008333333333333333,0.97925,0.916,0.0018677930330710667,0.19600382887982987
rho0_seed00_width8_cosine,0.0,0,8,cosine,180,0.009666666666666667,0.97825,0.9156666666666666,0.0012224462977549774,0.19597099629488207
rho0_seed00_width8_cosine,0.0,0,8,cosine,200,0.010333333333333333,0.978,0.9156666666666666,0.001,0.19594558276922938
rho0_seed01_width512_constant,0.0,1,512,constant,20,0.015,0.97975,0.9023333333333333,0.01,0.20898829307418895
rho0_seed01_width512_constant,0.0,1,512,constant,40,0.023666666666666666,0.9795,0.9073333333333333,0.01,0.20117938391393136
rho0_seed01_width512_constant,0.0,1,512,constant,60,0.018333333333333333,0.9835,0.9066666666666666,0.01,0.19047285323302104
rho0_seed01_width512_constant,0.0,1,512,constant,80,0.02033333333333333,0.987,0.9076666666666666,0.01,0.1884518646514929
rho0_seed01_width512_constant,0.0,1,512,constant,100,0.036,0.986,0.9053333333333333,0.01,0.19398532949629047
rho0_seed01_width512_constant,0.0,1,512,constant,120,0.036333333333333336,0.9725,0.9003333333333333,0.01,0.19220386031790992
rho0_seed01_width512_constant,0.0,1,512,constant,140,0.036,0.9775,0.904,0.01,0.18019363600875388
rho0_seed01_width512_constant,0.0,1,512,constant,160,0.025,0.97175,0.902,0.01,0.17951842049270336
rho0_seed01_width512_constant,0.0,1,512,constant,180,0.036333333333333336,0.97725,0.904,0.01,0.17559187835598297
rho0_seed01_width512_constant,0.0,1,512,constant,200,0.034,0.9765,0.9013333333333333,0.01,0.17773814882069072
rho0_seed01_width512_cosine,0.0,1,512,cosine,20,0.014,0.9805,0.9036666666666666,0.009799079281818376,0.2079353939743575
rho0_seed01_width512_cosine,0.0,1,512,cosine,40,0.018,0.98025,0.9083333333333333,0.009173690746364798,0.19811828408392332
rho0_seed01_width512_cosine,0.0,1,512,cosine,60,0.018,0.98325,0.9056666666666666,0.008185102697299853,0.19069837735478665
rho0_seed01_width512_cosine,0.0,1,512,cosine,80,0.022333333333333334,0.98425,0.91,0.006931051913076572,0.19063632712345563
rho0_seed01_width512_cosine,0.0,1,512,cosine,100,0.029,0.989,0.905,0.005535520151093711,0.1897513873012173
rho0_seed01_width512_cosine,0.0,1,512,cosine,120,0.028,0.9825,0.907,0.004136476688619072,0.18524756456480576
rho0_seed01_width512_cosine,0.0,1,512,cosine,140,0.02266666666666667,0.987,0.9046666666666666,0.0028722379872641217,0.18286356875444004
rho0_seed01_width512_cosine,0.0,1,512,cosine,160,0.025333333333333333,0.98575,0.9043333333333333,0.0018677930330710667,0.18132694930149112
rho0_seed01_width512_cosine,0.0,1,512,cosine,180,0.024333333333333332,0.98625,0.9023333333333333,0.0012224462977549774,0.17978994830706302
rho0_seed01_width512_cosine,0.0,1,512,cosine,200,0.027,0.986,0.9036666666666666,0.001,0.17950607730741258
rho0_seed01_width64_constant,0.0,1,64,constant,20,0.015,0.9935,0.9093333333333333,0.01,0.19843092418815836
rho0_seed01_width64_constant,0.0,1,64,constant,40,0.011,0.989,0.9086666666666666,0.01,0.196697372742119
rho0_seed01_width64_constant,0.0,1,64,constant,60,0.015666666666666666,0.9895,0.9086666666666666,0.01,0.19525221718732838
rho0_seed01_width64_constant,0.0,1,64,constant,80,0.019666666666666666,0.9905,0.9083333333333333,0.01,0.1937879434539777
rho0_seed01_width64_constant,0.0,1,64,constant,100,0.018666666666666668,0.98525,0.9063333333333333,0.01,0.193527907598199
rho0_seed01_width64_constant,0.0,1,64,constant,120,0.023,0.98625,0.9066666666666666,0.01,0.19201956365624107
rho0_seed01_width64_constant,0.0,1,64,constant,140,0.02,0.98825,0.9033333333333333,0.01,0.19053187575369215
rho0_seed01_width64_constant,0.0,1,64,constant,160,0.026333333333333334,0.9855,0.9056666666666666,0.01,0.18945950635491052
rho0_seed01_width64_constant,0.0,1,64,constant,180,0.02,0.9875,0.903,0.01,0.18799716873205438
rho0_seed01_width64_constant,0.0,1,64,constant,200,0.032,0.984,0.9026666666666666,0.01,0.1881525417171577
rho0_seed01_width64_cosine,0.0,1,64,cosine,20,0.014666666666666666,0.99325,0.909,0.009799079281818376,0.19844131301706877
rho0_seed01_width64_cosine,0.0,1,64,cosine,40,0.011,0.9895,0.9083333333333333,0.009173690746364798,0.1966923308748124
rho0_seed01_width64_cosine,0.0,1,64,cosine,60,0.01633333333333333,0.9905,0.9083333333333333,0.008185102697299853,0.19521210059234148
rho0_seed01_width64_cosine,0.0,1,64,cosine,80,0.018,0.9905,0.9073333333333333,0.006931051913076572,0.1941818637731859
rho0_seed01_width64_cosine,0.0,1,64,cosine,100,0.015,0.98975,0.9063333333333333,0.005535520151093711,0.19299853444462198
rho0_seed01_width64_cosine,0.0,1,64,cosine,120,0.017666666666666667,0.989,0.9063333333333333,0.004136476688619072,0.1924991958763028
rho0_seed01_width64_cosine,0.0,1,64,cosine,140,0.018,0.9895,0.9046666666666666,0.0028722379872641217,0.1916882696352703
rho0_seed01_width64_cosine,0.0,1,64,cosine,160,0.018333333333333333,0.9895,0.9056666666666666,0.0018677930330710667,0.19139055479637174
rho0_seed01_width64_cosine,0.0,1,64,cosine,180,0.019,0.98975,0.9066666666666666,0.0012224462977549774,0.19122240794500625
rho0_seed01_width64_cosine,0.0,1,64,cosine,200,0.018666666666666668,0.98975,0.9053333333333333,0.001,0.19108584927340275
rho0_seed01_width8_constant,0.0,1,8,constant,20,0.013666666666666667,0.99025,0.9056666666666666,0.01,0.2003942058995319
rho0_seed01_width8_constant,0.0,1,8,constant,40,0.014666666666666666,0.99075,0.9106666666666666,0.01,0.19887053754031475
rho0_seed01_width8_constant,0.0,1,8,constant,60,0.019333333333333334,0.991,0.9083333333333333,0.01,0.1984252450124455
rho0_seed01_width8_constant,0.0,1,8,constant,80,0.019666666666666666,0.99025,0.9083333333333333,0.01,0.19805844195759773
rho0_seed01_width8_constant,0.0,1,8,constant,100,0.012666666666666666,0.9885,0.908,0.01,0.19832044898891557
rho0_seed01_width8_constant,0.0,1,8,constant,120,0.01633333333333333,0.98825,0.9106666666666666,0.01,0.19796281149952444
rho0_seed01_width8_constant,0.0,1,8,constant,140,0.013333333333333334,0.99225,0.9083333333333333,0.01,0.1974400595355098
rho0_seed01_width8_constant,0.0,1,8,constant,160,0.02,0.992,0.9076666666666666,0.01,0.19756919843180645
rho0_seed01_width8_constant,0.0,1,8,constant,180,0.014666666666666666,0.993,0.908,0.01,0.19737422879167235
