guard,rho_train,width,value,threshold,status,note
IID-match,0.0,8,1.666666666666483e-05,0.02,PASS,Absolute paired schedule difference in IID-test accuracy.
IID-match,0.0,64,0.0013999999999999956,0.02,PASS,Absolute paired schedule difference in IID-test accuracy.
IID-match,0.0,512,0.0030333333333333436,0.02,PASS,Absolute paired schedule difference in IID-test accuracy.
IID-match,0.7,8,1.666666666665928e-05,0.02,PASS,Absolute paired schedule difference in IID-test accuracy.
IID-match,0.7,64,0.0004999999999999949,0.02,PASS,Absolute paired schedule difference in IID-test accuracy.
IID-match,0.7,512,0.0009333333333333526,0.02,PASS,Absolute paired schedule difference in IID-test accuracy.
IID-match,0.9,8,8.333333333333526e-05,0.02,PASS,Absolute paired schedule difference in IID-test accuracy.
IID-match,0.9,64,1.6666666666675934e-05,0.02,PASS,Absolute paired schedule difference in IID-test accuracy.
IID-match,0.9,512,3.333333333333521e-05,0.02,PASS,Absolute paired schedule difference in IID-test accuracy.
rho=0 sanity,0.0,all,0.005849999999999983,0.05,PASS,Large schedule effect at rho=0 is a general optimization effect.
width ladder,0.0,8/64/512,0.022368611148050443,diagnostic separation,PASS,Widths are distinct model regimes; report retains raw loss/fidelity diagnostics.
