fit_id,rho_train,dataset_seed,width,schedule,accuracy,ood_gap,rho_ood
rho0_seed00_width512_constant,0.0,0,512,constant,0.9036666666666666,0.012666666666666715,-0.9
rho0_seed00_width512_constant,0.0,0,512,constant,0.912,0.0043333333333333,-0.6
rho0_seed00_width512_constant,0.0,0,512,constant,0.908,0.008333333333333304,-0.3
rho0_seed00_width512_constant,0.0,0,512,constant,0.8956666666666667,0.02066666666666661,0.3
rho0_seed00_width512_cosine,0.0,0,512,cosine,0.9016666666666666,0.015333333333333421,-0.9
rho0_seed00_width512_cosine,0.0,0,512,cosine,0.9096666666666666,0.007333333333333414,-0.6
rho0_seed00_width512_cosine,0.0,0,512,cosine,0.911,0.006000000000000005,-0.3
rho0_seed00_width512_cosine,0.0,0,512,cosine,0.9003333333333333,0.01666666666666672,0.3
rho0_seed00_width64_constant,0.0,0,64,constant,0.9083333333333333,0.011666666666666714,-0.9
rho0_seed00_width64_constant,0.0,0,64,constant,0.9133333333333333,0.00666666666666671,-0.6
rho0_seed00_width64_constant,0.0,0,64,constant,0.909,0.01100000000000001,-0.3
rho0_seed00_width64_constant,0.0,0,64,constant,0.9003333333333333,0.01966666666666672,0.3
rho0_seed00_width64_cosine,0.0,0,64,cosine,0.9056666666666666,0.015000000000000013,-0.9
rho0_seed00_width64_cosine,0.0,0,64,cosine,0.9096666666666666,0.01100000000000001,-0.6
rho0_seed00_width64_cosine,0.0,0,64,cosine,0.9113333333333333,0.009333333333333305,-0.3
rho0_seed00_width64_cosine,0.0,0,64,cosine,0.903,0.01766666666666661,0.3
rho0_seed00_width8_constant,0.0,0,8,constant,0.9073333333333333,0.010000000000000009,-0.9
rho0_seed00_width8_constant,0.0,0,8,constant,0.913,0.0043333333333333,-0.6
rho0_seed00_width8_constant,0.0,0,8,constant,0.9133333333333333,0.0040000000000000036,-0.3
rho0_seed00_width8_constant,0.0,0,8,constant,0.9036666666666666,0.013666666666666716,0.3
rho0_seed00_width8_cosine,0.0,0,8,cosine,0.904,0.011666666666666603,-0.9
rho0_seed00_width8_cosine,0.0,0,8,cosine,0.9116666666666666,0.0040000000000000036,-0.6
rho0_seed00_width8_cosine,0.0,0,8,cosine,0.9103333333333333,0.005333333333333301,-0.3
rho0_seed00_width8_cosine,0.0,0,8,cosine,0.9036666666666666,0.01200000000000001,0.3
rho0_seed01_width512_constant,0.0,1,512,constant,0.9166666666666666,-0.01533333333333331,-0.9
rho0_seed01_width512_constant,0.0,1,512,constant,0.909,-0.0076666666666667105,-0.6
rho0_seed01_width512_constant,0.0,1,512,constant,0.907,-0.005666666666666709,-0.3
rho0_seed01_width512_constant,0.0,1,512,constant,0.8883333333333333,0.013000000000000012,0.3
rho0_seed01_width512_cosine,0.0,1,512,cosine,0.917,-0.01333333333333342,-0.9
rho0_seed01_width512_cosine,0.0,1,512,cosine,0.918,-0.01433333333333342,-0.6
rho0_seed01_width512_cosine,0.0,1,512,cosine,0.909,-0.005333333333333412,-0.3
rho0_seed01_width512_cosine,0.0,1,512,cosine,0.895,0.0086666666666666,0.3
rho0_seed01_width64_constant,0.0,1,64,constant,0.927,-0.02433333333333343,-0.9
rho0_seed01_width64_constant,0.0,1,64,constant,0.92,-0.017333333333333423,-0.6
rho0_seed01_width64_constant,0.0,1,64,constant,0.9146666666666666,-0.01200000000000001,-0.3
rho0_seed01_width64_constant,0.0,1,64,constant,0.8916666666666667,0.010999999999999899,0.3
rho0_seed01_width64_cosine,0.0,1,64,cosine,0.9186666666666666,-0.013333333333333308,-0.9
rho0_seed01_width64_cosine,0.0,1,64,cosine,0.9166666666666666,-0.011333333333333306,-0.6
rho0_seed01_width64_cosine,0.0,1,64,cosine,0.9146666666666666,-0.009333333333333305,-0.3
rho0_seed01_width64_cosine,0.0,1,64,cosine,0.898,0.007333333333333303,0.3
rho0_seed01_width8_constant,0.0,1,8,constant,0.9236666666666666,-0.014666666666666606,-0.9
rho0_seed01_width8_constant,0.0,1,8,constant,0.9203333333333333,-0.011333333333333306,-0.6
rho0_seed01_width8_constant,0.0,1,8,constant,0.916,-0.007000000000000006,-0.3
rho0_seed01_width8_constant,0.0,1,8,constant,0.8963333333333333,0.012666666666666715,0.3
rho0_seed01_width8_cosine,0.0,1,8,cosine,0.919,-0.01100000000000001,-0.9
rho0_seed01_width8_cosine,0.0,1,8,cosine,0.919,-0.01100000000000001,-0.6
rho0_seed01_width8_cosine,0.0,1,8,cosine,0.9126666666666666,-0.004666666666666597,-0.3
rho0_seed01_width8_cosine,0.0,1,8,cosine,0.9,0.008000000000000007,0.3
rho0_seed02_width512_constant,0.0,2,512,constant,0.9156666666666666,0.0006666666666667043,-0.9
rho0_seed02_width512_constant,0.0,2,512,constant,0.9063333333333333,0.010000000000000009,-0.6
rho0_seed02_width512_constant,0.0,2,512,constant,0.9143333333333333,0.0020000000000000018,-0.3
rho0_seed02_width512_constant,0.0,2,512,constant,0.909,0.007333333333333303,0.3
rho0_seed02_width512_cosine,0.0,2,512,cosine,0.902,0.019000000000000017,-0.9
rho0_seed02_width512_cosine,0.0,2,512,cosine,0.9006666666666666,0.020333333333333425,-0.6
rho0_seed02_width512_cosine,0.0,2,512,cosine,0.9116666666666666,0.009333333333333416,-0.3
rho0_seed02_width512_cosine,0.0,2,512,cosine,0.912,0.009000000000000008,0.3
rho0_seed02_width64_constant,0.0,2,64,constant,0.9086666666666666,0.01200000000000001,-0.9
rho0_seed02_width64_constant,0.0,2,64,constant,0.9093333333333333,0.011333333333333306,-0.6
rho0_seed02_width64_constant,0.0,2,64,constant,0.914,0.006666666666666599,-0.3
rho0_seed02_width64_constant,0.0,2,64,constant,0.912,0.0086666666666666,0.3
rho0_seed02_width64_cosine,0.0,2,64,cosine,0.9063333333333333,0.015666666666666718,-0.9
rho0_seed02_width64_cosine,0.0,2,64,cosine,0.9036666666666666,0.018333333333333424,-0.6
rho0_seed02_width64_cosine,0.0,2,64,cosine,0.9093333333333333,0.012666666666666715,-0.3
rho0_seed02_width64_cosine,0.0,2,64,cosine,0.916,0.006000000000000005,0.3
rho0_seed02_width8_constant,0.0,2,8,constant,0.9083333333333333,0.013000000000000012,-0.9
rho0_seed02_width8_constant,0.0,2,8,constant,0.906,0.01533333333333331,-0.6
rho0_seed02_width8_constant,0.0,2,8,constant,0.914,0.007333333333333303,-0.3
rho0_seed02_width8_constant,0.0,2,8,constant,0.914,0.007333333333333303,0.3
rho0_seed02_width8_cosine,0.0,2,8,cosine,0.9043333333333333,0.01733333333333331,-0.9
rho0_seed02_width8_cosine,0.0,2,8,cosine,0.9046666666666666,0.017000000000000015,-0.6
rho0_seed02_width8_cosine,0.0,2,8,cosine,0.9103333333333333,0.011333333333333306,-0.3
rho0_seed02_width8_cosine,0.0,2,8,cosine,0.9166666666666666,0.0050000000000000044,0.3
rho0_seed03_width512_constant,0.0,3,512,constant,0.892,0.007333333333333303,-0.9
rho0_seed03_width512_constant,0.0,3,512,constant,0.904,-0.004666666666666708,-0.6
rho0_seed03_width512_constant,0.0,3,512,constant,0.8936666666666667,0.005666666666666598,-0.3
rho0_seed03_width512_constant,0.0,3,512,constant,0.9066666666666666,-0.007333333333333303,0.3
rho0_seed03_width512_cosine,0.0,3,512,cosine,0.906,-0.004333333333333411,-0.9
rho0_seed03_width512_cosine,0.0,3,512,cosine,0.9123333333333333,-0.010666666666666713,-0.6
rho0_seed03_width512_cosine,0.0,3,512,cosine,0.8976666666666666,0.0040000000000000036,-0.3
rho0_seed03_width512_cosine,0.0,3,512,cosine,0.9093333333333333,-0.0076666666666667105,0.3
rho0_seed03_width64_constant,0.0,3,64,constant,0.9116666666666666,-0.010333333333333306,-0.9
rho0_seed03_width64_constant,0.0,3,64,constant,0.912,-0.010666666666666713,-0.6
rho0_seed03_width64_constant,0.0,3,64,constant,0.8986666666666666,0.002666666666666706,-0.3
rho0_seed03_width64_constant,0.0,3,64,constant,0.9083333333333333,-0.007000000000000006,0.3
rho0_seed03_width64_cosine,0.0,3,64,cosine,0.9123333333333333,-0.01100000000000001,-0.9
rho0_seed03_width64_cosine,0.0,3,64,cosine,0.915,-0.013666666666666716,-0.6
rho0_seed03_width64_cosine,0.0,3,64,cosine,0.9023333333333333,-0.0010000000000000009,-0.3
rho0_seed03_width64_cosine,0.0,3,64,cosine,0.9093333333333333,-0.008000000000000007,0.3
rho0_seed03_width8_constant,0.0,3,8,constant,0.913,-0.01333333333333342,-0.9
rho0_seed03_width8_constant,0.0,3,8,constant,0.917,-0.017333333333333423,-0.6
rho0_seed03_width8_constant,0.0,3,8,constant,0.9046666666666666,-0.0050000000000000044,-0.3
rho0_seed03_width8_constant,0.0,3,8,constant,0.908,-0.008333333333333415,0.3
rho0_seed03_width8_cosine,0.0,3,8,cosine,0.9143333333333333,-0.014333333333333309,-0.9
rho0_seed03_width8_cosine,0.0,3,8,cosine,0.917,-0.017000000000000015,-0.6
rho0_seed03_width8_cosine,0.0,3,8,cosine,0.907,-0.007000000000000006,-0.3
rho0_seed03_width8_cosine,0.0,3,8,cosine,0.9093333333333333,-0.009333333333333305,0.3
rho0_seed04_width512_constant,0.0,4,512,constant,0.8966666666666666,0.018333333333333424,-0.9
rho0_seed04_width512_constant,0.0,4,512,constant,0.8903333333333333,0.024666666666666726,-0.6
rho0_seed04_width512_constant,0.0,4,512,constant,0.9016666666666666,0.01333333333333342,-0.3
rho0_seed04_width512_constant,0.0,4,512,constant,0.9076666666666666,0.007333333333333414,0.3
rho0_seed04_width512_cosine,0.0,4,512,cosine,0.9016666666666666,0.015333333333333421,-0.9
rho0_seed04_width512_cosine,0.0,4,512,cosine,0.896,0.02100000000000002,-0.6
rho0_seed04_width512_cosine,0.0,4,512,cosine,0.9056666666666666,0.011333333333333417,-0.3
rho0_seed04_width512_cosine,0.0,4,512,cosine,0.9053333333333333,0.011666666666666714,0.3
rho0_seed04_width64_constant,0.0,4,64,constant,0.9013333333333333,0.015666666666666718,-0.9
rho0_seed04_width64_constant,0.0,4,64,constant,0.897,0.020000000000000018,-0.6
rho0_seed04_width64_constant,0.0,4,64,constant,0.9083333333333333,0.008666666666666711,-0.3
rho0_seed04_width64_constant,0.0,4,64,constant,0.909,0.008000000000000007,0.3
rho0_seed04_width64_cosine,0.0,4,64,cosine,0.9023333333333333,0.016000000000000014,-0.9
rho0_seed04_width64_cosine,0.0,4,64,cosine,0.8996666666666666,0.01866666666666672,-0.6
