rho_train,width,dataset_seed,schedule_effect
0.0,8,0,0.0040000000000000036
0.0,8,1,0.00024999999999997247
0.0,8,2,0.006500000000000061
0.0,8,3,0.0
0.0,8,4,0.0
0.0,8,5,0.003249999999999975
0.0,8,6,0.0017500000000000293
0.0,8,7,0.0022499999999999742
0.0,8,8,0.0004999999999999449
0.0,8,9,0.0002500000000000835
0.0,8,10,-0.00024999999999997247
0.0,8,11,0.0022499999999999742
0.0,8,12,-0.0022499999999999742
0.0,8,13,0.0010000000000000009
0.0,8,14,0.0007500000000000284
0.0,8,15,0.0014999999999999458
0.0,8,16,0.003249999999999975
0.0,8,17,-0.000500000000000056
0.0,8,18,-0.0030000000000000027
0.0,8,19,-0.00024999999999997247
0.0,64,0,0.007000000000000006
0.0,64,1,0.005750000000000033
0.0,64,2,0.003250000000000086
0.0,64,3,0.0015000000000000568
0.0,64,4,0.0020000000000000018
0.0,64,5,0.0035000000000000586
0.0,64,6,0.004750000000000032
0.0,64,7,0.0030000000000000027
0.0,64,8,0.0035000000000000586
0.0,64,9,-0.0007499999999999174
0.0,64,10,0.005499999999999949
0.0,64,11,0.004250000000000087
0.0,64,12,0.005750000000000033
0.0,64,13,0.0007500000000000284
0.0,64,14,0.00024999999999997247
0.0,64,15,0.0
0.0,64,16,0.0012499999999999734
0.0,64,17,0.0024999999999999467
0.0,64,18,0.005249999999999977
0.0,64,19,0.0020000000000000018
0.0,512,0,0.00649999999999995
0.0,512,1,0.009499999999999953
0.0,512,2,0.00550000000000006
0.0,512,3,-0.00550000000000006
0.0,512,4,0.0030000000000000027
0.0,512,5,0.0035000000000000586
0.0,512,6,0.0034999999999999476
0.0,512,7,0.0020000000000000018
0.0,512,8,0.0040000000000000036
0.0,512,9,0.00374999999999992
0.0,512,10,0.010749999999999926
0.0,512,11,0.007499999999999951
0.0,512,12,0.010749999999999926
0.0,512,13,0.022249999999999992
0.0,512,14,-0.0015000000000000568
0.0,512,15,0.0020000000000000018
0.0,512,16,0.011750000000000038
0.0,512,17,0.00275000000000003
0.0,512,18,0.007499999999999951
0.0,512,19,0.007500000000000062
0.7,8,0,0.005249999999999977
0.7,8,1,0.0017500000000000293
0.7,8,2,0.0012499999999999734
0.7,8,3,0.0020000000000000018
0.7,8,4,0.0020000000000000018
0.7,8,5,0.007499999999999951
0.7,8,6,0.0
0.7,8,7,0.0007500000000000284
0.7,8,8,-0.0012500000000000844
0.7,8,9,-0.0015000000000000568
0.7,8,10,-0.0022499999999999742
0.7,8,11,0.0025000000000000577
0.7,8,12,0.0012500000000000844
0.7,8,13,0.0007499999999999174
0.7,8,14,0.0045000000000000595
0.7,8,15,-0.0010000000000000009
0.7,8,16,0.0025000000000000577
0.7,8,17,0.0012499999999999734
0.7,8,18,-0.0007500000000000284
0.7,8,19,0.0050000000000000044
0.7,64,0,0.004749999999999921
0.7,64,1,0.0044999999999999485
0.7,64,2,0.003750000000000031
0.7,64,3,0.002749999999999919
0.7,64,4,0.006000000000000005
0.7,64,5,0.0045000000000000595
0.7,64,6,0.006000000000000005
0.7,64,7,0.0044999999999999485
0.7,64,8,0.0
0.7,64,9,0.004249999999999976
0.7,64,10,0.0010000000000000009
0.7,64,11,0.0030000000000000027
0.7,64,12,-0.0012499999999999734
0.7,64,13,0.0014999999999999458
0.7,64,14,0.0025000000000000577
0.7,64,15,0.0022500000000000853
0.7,64,16,-0.0017500000000000293
0.7,64,17,0.0040000000000000036
0.7,64,18,0.00374999999999992
0.7,64,19,0.0014999999999999458
0.7,512,0,0.00924999999999998
0.7,512,1,0.016249999999999987
0.7,512,2,0.005749999999999922
0.7,512,3,0.0010000000000000009
0.7,512,4,0.003750000000000031
0.7,512,5,0.012249999999999983
0.7,512,6,0.003250000000000086
0.7,512,7,0.006249999999999978
0.7,512,8,0.007750000000000035
0.7,512,9,0.013249999999999984
0.7,512,10,0.009000000000000008
0.7,512,11,0.006249999999999978
0.7,512,12,0.005249999999999977
0.7,512,13,0.022500000000000075
0.7,512,14,0.008500000000000063
0.7,512,15,0.0025000000000000577
0.7,512,16,0.010500000000000065
0.7,512,17,0.004749999999999921
0.7,512,18,0.011499999999999955
0.7,512,19,0.007000000000000006
0.9,8,0,-0.0017500000000000293
0.9,8,1,0.012249999999999983
0.9,8,2,-0.0019999999999998908
0.9,8,3,0.0022499999999999742
0.9,8,4,0.0014999999999999458
0.9,8,5,0.008750000000000036
0.9,8,6,-0.0004999999999999449
0.9,8,7,0.0034999999999999476
0.9,8,8,-0.0017499999999999183
0.9,8,9,0.0017500000000000293
0.9,8,10,0.0022499999999999742
0.9,8,11,0.0050000000000000044
0.9,8,12,-0.0014999999999999458
0.9,8,13,0.000500000000000056
0.9,8,14,0.006750000000000034
0.9,8,15,-0.0017499999999999183
0.9,8,16,-0.0024999999999999467
0.9,8,17,0.00924999999999998
0.9,8,18,0.002749999999999919
0.9,8,19,0.0017500000000000293
0.9,64,0,0.0024999999999999467
0.9,64,1,0.008750000000000036
0.9,64,2,0.0030000000000000027
0.9,64,3,0.0
0.9,64,4,0.0022499999999999742
0.9,64,5,0.005750000000000033
0.9,64,6,0.0007499999999999174
0.9,64,7,-0.0007500000000000284
0.9,64,8,0.0034999999999999476
0.9,64,9,0.00275000000000003
0.9,64,10,0.0022499999999999742
0.9,64,11,0.004750000000000032
0.9,64,12,0.0022500000000000853
0.9,64,13,-0.0007499999999999174
0.9,64,14,0.004750000000000032
0.9,64,15,-0.0007499999999999174
0.9,64,16,-0.0012499999999999734
0.9,64,17,0.0020000000000000018
0.9,64,18,-0.0010000000000000009
0.9,64,19,0.0
0.9,512,0,0.007499999999999951
0.9,512,1,0.0045000000000000595
0.9,512,2,0.008000000000000007
0.9,512,3,-0.0010000000000000009
0.9,512,4,-0.0007500000000000284
0.9,512,5,0.004750000000000032
0.9,512,6,0.003750000000000031
0.9,512,7,0.003750000000000031
0.9,512,8,0.010749999999999926
0.9,512,9,0.002749999999999919
0.9,512,10,0.008499999999999952
0.9,512,11,-0.00024999999999997247
0.9,512,12,0.0010000000000000009
0.9,512,13,0.007499999999999951
0.9,512,14,0.00024999999999997247
0.9,512,15,-0.0017500000000000293
0.9,512,16,0.0022499999999999742
0.9,512,17,0.005499999999999949
0.9,512,18,0.0040000000000000036
0.9,512,19,0.006249999999999978
