rho_train,schedule,comparison,n_seeds,width_effect,ci95_low,ci95_high,positive_seeds,negative_seeds
0.0,constant,width_64_minus_width_8,20,-0.006987500000000013,-0.00873750000000001,-0.005200000000000015,1,18
0.0,constant,width_512_minus_width_8,20,-0.014812500000000001,-0.018800625000000022,-0.011174687499999985,0,20
0.0,cosine,width_64_minus_width_8,20,-0.004999999999999993,-0.006737499999999991,-0.0033621874999999898,1,18
0.0,cosine,width_512_minus_width_8,20,-0.010025000000000017,-0.012337500000000006,-0.007737187500000024,0,20
0.7,constant,width_64_minus_width_8,20,-0.005012500000000003,-0.006937812500000018,-0.003049999999999997,4,16
0.7,constant,width_512_minus_width_8,20,-0.015225000000000011,-0.018425000000000014,-0.01217500000000003,0,20
0.7,cosine,width_64_minus_width_8,20,-0.003712500000000013,-0.005687500000000012,-0.0017375000000000138,3,17
0.7,cosine,width_512_minus_width_8,20,-0.008475000000000005,-0.011049999999999999,-0.006262499999999993,1,19
0.9,constant,width_64_minus_width_8,20,-0.004999999999999993,-0.009250312500000002,-0.00040000000000000034,7,13
0.9,constant,width_512_minus_width_8,20,-0.009774999999999983,-0.013625312499999993,-0.00556218749999998,3,17
0.9,cosine,width_64_minus_width_8,20,-0.0052875000000000005,-0.009862812499999997,-0.0003621875000000093,6,14
0.9,cosine,width_512_minus_width_8,20,-0.008237500000000014,-0.012950000000000012,-0.0035246875000000165,4,16
