fit_id,fidelity_min,fidelity_drop_from_20,fidelity_recovery,sat,trajectory_class_recomputed
rho0_seed00_width512_constant,0.94575,0.018500000000000072,0.008750000000000036,inf,No-acquisition / no-distortion
rho0_seed00_width512_cosine,0.9545,0.010750000000000037,0.00649999999999995,inf,No-acquisition / no-distortion
rho0_seed00_width64_constant,0.9615,0.015249999999999986,0.0,inf,No-acquisition / no-distortion
rho0_seed00_width64_cosine,0.96775,0.009000000000000008,0.0007500000000000284,inf,No-acquisition / no-distortion
rho0_seed00_width8_constant,0.974,0.016000000000000014,0.0,inf,No-acquisition / no-distortion
rho0_seed00_width8_cosine,0.977,0.013000000000000012,0.0010000000000000009,inf,No-acquisition / no-distortion
rho0_seed01_width512_constant,0.97175,0.008000000000000007,0.004750000000000032,inf,No-acquisition / no-distortion
rho0_seed01_width512_cosine,0.98025,0.0002500000000000835,0.005750000000000033,inf,No-acquisition / no-distortion
rho0_seed01_width64_constant,0.984,0.009500000000000064,0.0,inf,No-acquisition / no-distortion
rho0_seed01_width64_cosine,0.989,0.004249999999999976,0.0007500000000000284,inf,No-acquisition / no-distortion
rho0_seed01_width8_constant,0.98825,0.0020000000000000018,0.0035000000000000586,inf,No-acquisition / no-distortion
rho0_seed01_width8_cosine,0.9895,0.0004999999999999449,0.0024999999999999467,inf,No-acquisition / no-distortion
rho0_seed02_width512_constant,0.96025,0.01574999999999993,0.017999999999999905,inf,No-acquisition / no-distortion
rho0_seed02_width512_cosine,0.966,0.00924999999999998,0.017750000000000044,inf,No-acquisition / no-distortion
rho0_seed02_width64_constant,0.98475,0.005499999999999949,0.0014999999999999458,inf,No-acquisition / no-distortion
rho0_seed02_width64_cosine,0.9885,0.0020000000000000018,0.0010000000000000009,inf,No-acquisition / no-distortion
rho0_seed02_width8_constant,0.987,0.005750000000000033,0.0,inf,No-acquisition / no-distortion
rho0_seed02_width8_cosine,0.9915,0.0012499999999999734,0.0020000000000000018,inf,No-acquisition / no-distortion
rho0_seed03_width512_constant,0.9645,0.011499999999999955,0.017000000000000015,inf,No-acquisition / no-distortion
rho0_seed03_width512_cosine,0.9675,0.009000000000000008,0.008499999999999952,inf,No-acquisition / no-distortion
rho0_seed03_width64_constant,0.968,0.01475000000000004,0.006249999999999978,inf,No-acquisition / no-distortion
rho0_seed03_width64_cosine,0.97575,0.007000000000000006,0.0,inf,No-acquisition / no-distortion
rho0_seed03_width8_constant,0.986,0.0,0.00275000000000003,inf,No-acquisition / no-distortion
rho0_seed03_width8_cosine,0.98625,0.0,0.0025000000000000577,inf,No-acquisition / no-distortion
rho0_seed04_width512_constant,0.967,0.016249999999999987,0.009500000000000064,inf,No-acquisition / no-distortion
rho0_seed04_width512_cosine,0.97425,0.009000000000000008,0.005250000000000088,inf,No-acquisition / no-distortion
rho0_seed04_width64_constant,0.97975,0.011750000000000038,0.006750000000000034,inf,No-acquisition / no-distortion
rho0_seed04_width64_cosine,0.98575,0.006000000000000005,0.00275000000000003,inf,No-acquisition / no-distortion
rho0_seed04_width8_constant,0.97975,0.006249999999999978,0.015249999999999986,inf,No-acquisition / no-distortion
rho0_seed04_width8_cosine,0.98575,0.0,0.00924999999999998,inf,No-acquisition / no-distortion
rho0_seed05_width512_constant,0.968,0.012500000000000067,0.00824999999999998,inf,No-acquisition / no-distortion
rho0_seed05_width512_cosine,0.9765,0.0040000000000000036,0.003249999999999975,inf,No-acquisition / no-distortion
rho0_seed05_width64_constant,0.984,0.004750000000000032,0.00024999999999997247,inf,No-acquisition / no-distortion
rho0_seed05_width64_cosine,0.9875,0.0014999999999999458,0.00024999999999997247,inf,No-acquisition / no-distortion
